LECROYWS452,11807,Waveform
Segments,1,SegmentSize,502
Segment,TrigTime,TimeSinceSegment1
#1,25-Jul-2024 17:29:16,0                 
Time,Ampl
-2.5053e-007,0
-2.4953e-007,-0.015625
-2.4853e-007,0.015625
-2.4753e-007,-0.03125
-2.4653e-007,0.015625
-2.4553e-007,-0.015625
-2.4453e-007,-0.015625
-2.4353e-007,0
-2.4253e-007,-0.046875
-2.4153e-007,0.03125
-2.4053e-007,-0.015625
-2.3953e-007,-0.03125
-2.3853e-007,0.015625
-2.3753e-007,0
-2.3653e-007,-0.03125
-2.3553e-007,0.015625
-2.3453e-007,0
-2.3353e-007,0.03125
-2.3253e-007,-0.03125
-2.3153e-007,0.015625
-2.3053e-007,-0.015625
-2.2953e-007,0
-2.2853e-007,-0.03125
-2.2753e-007,0.015625
-2.2653e-007,-0.015625
-2.2553e-007,0.015625
-2.2453e-007,-0.015625
-2.2353e-007,-0.015625
-2.2253e-007,0
-2.2153e-007,0
-2.2053e-007,-0.03125
-2.1953e-007,0
-2.1853e-007,0.03125
-2.1753e-007,0
-2.1653e-007,0.03125
-2.1553e-007,0.015625
-2.1453e-007,-0.015625
-2.1353e-007,0
-2.1253e-007,0
-2.1153e-007,-0.03125
-2.1053e-007,-0.015625
-2.0953e-007,-0.015625
-2.0853e-007,0
-2.0753e-007,0
-2.0653e-007,0.015625
-2.0553e-007,0
-2.0453e-007,0
-2.0353e-007,-0.015625
-2.0253e-007,0
-2.0153e-007,-0.03125
-2.0053e-007,-0.015625
-1.9953e-007,0.03125
-1.9853e-007,0
-1.9753e-007,0
-1.9653e-007,-0.015625
-1.9553e-007,-0.015625
-1.9453e-007,0.015625
-1.9353e-007,0.03125
-1.9253e-007,-0.03125
-1.9153e-007,0.015625
-1.9053e-007,0
-1.8953e-007,0
-1.8853e-007,0.03125
-1.8753e-007,-0.015625
-1.8653e-007,-0.015625
-1.8553e-007,-0.046875
-1.8453e-007,0
-1.8353e-007,0.015625
-1.8253e-007,0
-1.8153e-007,0
-1.8053e-007,-0.03125
-1.7953e-007,0.015625
-1.7853e-007,0.015625
-1.7753e-007,-0.015625
-1.7653e-007,-0.015625
-1.7553e-007,0
-1.7453e-007,0.015625
-1.7353e-007,0.015625
-1.7253e-007,0
-1.7153e-007,0
-1.7053e-007,-0.046875
-1.6953e-007,0.015625
-1.6853e-007,-0.015625
-1.6753e-007,0.015625
-1.6653e-007,-0.015625
-1.6553e-007,0.015625
-1.6453e-007,-0.015625
-1.6353e-007,0.015625
-1.6253e-007,0.015625
-1.6153e-007,0
-1.6053e-007,-0.015625
-1.5953e-007,-0.03125
-1.5853e-007,0
-1.5753e-007,-0.03125
-1.5653e-007,0.015625
-1.5553e-007,-0.015625
-1.5453e-007,0
-1.5353e-007,0
-1.5253e-007,0.03125
-1.5153e-007,-0.03125
-1.5053e-007,-0.03125
-1.4953e-007,-0.03125
-1.4853e-007,0
-1.4753e-007,0
-1.4653e-007,-0.015625
-1.4553e-007,0.03125
-1.4453e-007,0
-1.4353e-007,-0.015625
-1.4253e-007,0
-1.4153e-007,0.015625
-1.4053e-007,-0.015625
-1.3953e-007,0
-1.3853e-007,0
-1.3753e-007,0
-1.3653e-007,0.015625
-1.3553e-007,-0.03125
-1.3453e-007,0
-1.3353e-007,0
-1.3253e-007,-0.015625
-1.3153e-007,-0.03125
-1.3053e-007,0
-1.2953e-007,-0.015625
-1.2853e-007,-0.03125
-1.2753e-007,0
-1.2653e-007,0
-1.2553e-007,-0.03125
-1.2453e-007,-0.03125
-1.2353e-007,-0.015625
-1.2253e-007,0
-1.2153e-007,0
-1.2053e-007,0
-1.1953e-007,0
-1.1853e-007,-0.015625
-1.1753e-007,0.03125
-1.1653e-007,0.015625
-1.1553e-007,-0.015625
-1.1453e-007,0.015625
-1.1353e-007,-0.046875
-1.1253e-007,-0.03125
-1.1153e-007,0
-1.1053e-007,-0.015625
-1.0953e-007,-0.03125
-1.0853e-007,0.015625
-1.0753e-007,0.03125
-1.0653e-007,-0.015625
-1.0553e-007,-0.015625
-1.0453e-007,0
-1.0353e-007,0.015625
-1.0253e-007,-0.03125
-1.0153e-007,0
-1.0053e-007,0.03125
-9.953e-008,0.03125
-9.853e-008,0
-9.753e-008,-0.046875
-9.653e-008,0
-9.553e-008,-0.046875
-9.453e-008,0
-9.353e-008,0
-9.253e-008,-0.015625
-9.153e-008,-0.015625
-9.053e-008,0.015625
-8.953e-008,-0.03125
-8.853e-008,-0.015625
-8.753e-008,-0.015625
-8.653e-008,-0.015625
-8.553e-008,0
-8.453e-008,0.03125
-8.353e-008,-0.03125
-8.253e-008,-0.03125
-8.153e-008,0
-8.053e-008,-0.015625
-7.953e-008,0.015625
-7.853e-008,-0.015625
-7.753e-008,-0.03125
-7.653e-008,0.015625
-7.553e-008,0
-7.453e-008,0.015625
-7.353e-008,0
-7.253e-008,0
-7.153e-008,0.015625
-7.053e-008,0
-6.953e-008,0
-6.853e-008,0
-6.753e-008,0
-6.653e-008,0
-6.553e-008,-0.046875
-6.453e-008,0
-6.353e-008,-0.015625
-6.253e-008,0
-6.153e-008,-0.015625
-6.053e-008,0
-5.953e-008,0
-5.853e-008,0
-5.753e-008,-0.03125
