"Time (ps)"	"Counts per bin"
0	13139747
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	0
10500	0
10600	0
10700	0
10800	0
10900	0
11000	0
11100	0
11200	0
11300	0
11400	0
11500	0
11600	0
11700	0
11800	0
11900	0
12000	0
12100	0
12200	0
12300	0
12400	0
12500	0
12600	0
12700	0
12800	0
12900	0
13000	0
13100	0
13200	0
13300	0
13400	0
13500	0
13600	0
13700	0
13800	0
13900	0
14000	0
14100	0
14200	0
14300	0
14400	0
14500	0
14600	0
14700	0
14800	0
14900	0
15000	0
15100	0
15200	1
15300	2
15400	4
15500	2
15600	2
15700	4
15800	0
15900	9
16000	7
16100	10
16200	20
16300	16
16400	29
16500	40
16600	48
16700	72
16800	89
16900	121
17000	145
17100	194
17200	195
17300	233
17400	258
17500	249
17600	291
17700	266
17800	275
17900	290
18000	299
18100	332
18200	360
18300	354
18400	377
18500	431
18600	397
18700	463
18800	430
18900	426
19000	471
19100	434
19200	431
19300	455
19400	433
19500	460
19600	483
19700	426
19800	436
19900	435
20000	421
20100	408
20200	446
20300	419
20400	507
20500	461
20600	481
20700	467
20800	486
20900	502
21000	472
21100	439
21200	532
21300	506
21400	495
21500	483
21600	507
21700	468
21800	494
21900	474
22000	467
22100	466
22200	495
22300	546
22400	483
22500	483
22600	534
22700	476
22800	525
22900	495
23000	533
23100	512
23200	459
23300	522
23400	544
23500	518
23600	538
23700	534
23800	529
23900	542
24000	538
24100	536
24200	587
24300	535
24400	571
24500	506
24600	513
24700	551
24800	536
24900	518
25000	593
25100	534
25200	522
25300	539
25400	548
25500	519
25600	541
25700	512
25800	530
25900	494
26000	492
26100	538
26200	592
26300	574
26400	544
26500	625
26600	560
26700	564
26800	583
26900	554
27000	560
27100	572
27200	546
27300	595
27400	580
27500	561
27600	534
27700	569
27800	604
27900	536
28000	576
28100	552
28200	595
28300	578
28400	553
28500	582
28600	579
28700	572
28800	567
28900	570
29000	587
29100	550
29200	525
29300	592
29400	548
29500	532
29600	581
29700	535
29800	566
29900	559
30000	565
30100	573
30200	606
30300	553
30400	557
30500	550
30600	540
30700	603
30800	556
30900	595
31000	600
31100	575
31200	590
31300	525
31400	553
31500	617
31600	553
31700	601
31800	573
31900	544
32000	559
32100	550
32200	554
32300	543
32400	602
32500	588
32600	591
32700	543
32800	568
32900	588
33000	544
33100	553
33200	541
33300	566
33400	574
33500	622
33600	550
33700	542
33800	539
33900	588
34000	569
34100	552
34200	566
34300	578
34400	567
34500	569
34600	587
34700	597
34800	611
34900	571
35000	553
35100	579
35200	580
35300	555
35400	562
35500	580
35600	557
35700	595
35800	551
35900	514
36000	590
36100	571
36200	607
36300	571
36400	564
36500	594
36600	576
36700	567
36800	541
36900	550
37000	578
37100	583
37200	611
37300	557
37400	588
37500	624
37600	580
37700	609
37800	569
37900	591
38000	606
38100	555
38200	539
38300	533
38400	567
38500	540
38600	577
38700	573
38800	594
38900	599
39000	532
39100	610
39200	601
39300	560
39400	581
39500	606
39600	548
39700	538
39800	558
39900	538
40000	579
40100	546
40200	579
40300	555
40400	563
40500	580
40600	555
40700	528
40800	558
40900	554
41000	554
41100	601
41200	590
41300	599
41400	587
41500	587
41600	577
41700	592
41800	571
41900	610
42000	592
42100	539
42200	573
42300	556
42400	578
42500	570
42600	561
42700	551
42800	563
42900	560
43000	578
43100	588
43200	578
43300	586
43400	562
43500	563
43600	564
43700	601
43800	577
43900	569
44000	563
44100	600
44200	562
44300	585
44400	577
44500	578
44600	571
44700	561
44800	560
44900	561
45000	589
45100	558
45200	559
45300	576
45400	583
45500	547
45600	557
45700	624
45800	586
45900	612
46000	580
46100	617
46200	631
46300	569
46400	598
46500	573
46600	535
46700	559
46800	617
46900	591
47000	616
47100	554
47200	600
47300	624
47400	552
47500	588
47600	578
47700	559
47800	571
47900	592
48000	594
48100	553
48200	617
48300	565
48400	555
48500	579
48600	610
48700	603
48800	577
48900	594
49000	602
49100	604
49200	581
49300	524
49400	571
49500	575
49600	603
49700	572
49800	585
49900	553
50000	577
50100	584
50200	565
50300	521
50400	608
50500	557
50600	598
50700	581
50800	569
50900	570
51000	576
51100	585
51200	614
51300	599
51400	564
51500	568
51600	545
51700	597
51800	607
51900	577
52000	568
52100	580
52200	568
52300	529
52400	576
52500	578
52600	549
52700	561
52800	563
52900	544
53000	607
53100	568
53200	571
53300	585
53400	586
53500	598
53600	592
53700	562
53800	618
53900	589
54000	589
54100	588
54200	582
54300	541
54400	590
54500	581
54600	585
54700	577
54800	573
54900	615
55000	573
55100	532
55200	515
55300	607
55400	549
55500	606
55600	552
55700	516
55800	606
55900	532
56000	616
56100	606
56200	538
56300	575
56400	551
56500	552
56600	548
56700	579
56800	562
56900	562
57000	592
57100	574
57200	552
57300	566
57400	573
57500	579
57600	544
57700	612
57800	560
57900	562
58000	570
58100	598
58200	523
58300	525
58400	530
58500	598
58600	583
58700	578
58800	575
58900	588
59000	587
59100	598
59200	551
59300	584
59400	613
59500	575
59600	605
59700	621
59800	585
59900	556
60000	570
60100	584
60200	586
60300	527
60400	537
60500	592
60600	591
60700	551
60800	569
60900	565
61000	607
61100	585
61200	519
61300	553
61400	556
61500	595
61600	570
61700	567
61800	579
61900	611
62000	598
62100	583
62200	598
62300	552
62400	599
62500	570
62600	593
62700	570
62800	590
62900	571
63000	553
63100	637
63200	607
63300	554
63400	528
63500	577
63600	541
63700	631
63800	564
63900	623
64000	581
64100	624
64200	587
64300	597
64400	573
64500	553
64600	512
64700	571
64800	582
64900	536
65000	623
65100	572
65200	539
65300	572
65400	527
65500	567
65600	552
65700	595
65800	591
65900	569
66000	563
66100	542
66200	562
66300	577
66400	563
66500	542
66600	527
66700	541
66800	608
66900	561
67000	550
67100	540
67200	598
67300	566
67400	575
67500	598
67600	545
67700	600
67800	558
67900	552
68000	574
68100	576
68200	549
68300	584
68400	586
68500	586
68600	538
68700	585
68800	563
68900	562
69000	577
69100	520
69200	587
69300	593
69400	596
69500	586
69600	583
69700	581
69800	597
69900	603
70000	538
70100	581
70200	606
70300	594
70400	555
70500	567
70600	624
70700	612
70800	573
70900	559
71000	576
71100	595
71200	547
71300	565
71400	597
71500	557
71600	573
71700	588
71800	611
71900	568
72000	578
72100	541
72200	553
72300	550
72400	619
72500	577
72600	556
72700	563
72800	585
72900	625
73000	568
73100	573
73200	574
73300	598
73400	563
73500	584
73600	540
73700	559
73800	543
73900	535
74000	560
74100	569
74200	586
74300	521
74400	556
74500	558
74600	573
74700	558
74800	587
74900	578
75000	557
75100	594
75200	535
75300	565
75400	568
75500	580
75600	547
75700	571
75800	579
75900	536
76000	607
76100	580
76200	580
76300	555
76400	595
76500	592
76600	567
76700	564
76800	571
76900	605
77000	567
77100	565
77200	570
77300	596
77400	540
77500	565
77600	621
77700	562
77800	581
77900	604
78000	565
78100	619
78200	601
78300	625
78400	643
78500	581
78600	533
78700	577
78800	543
78900	555
79000	580
79100	546
79200	572
79300	582
79400	557
79500	555
79600	571
79700	590
79800	586
79900	528
80000	575
80100	579
80200	574
80300	593
80400	575
80500	578
80600	615
80700	534
80800	569
80900	600
81000	579
81100	586
81200	554
81300	554
81400	628
81500	600
81600	570
81700	531
81800	597
81900	570
82000	559
82100	582
82200	608
82300	588
82400	598
