"Time (ps)"	"Counts per bin"
0	13182365
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	0
10500	0
10600	0
10700	0
10800	0
10900	0
11000	0
11100	0
11200	0
11300	0
11400	0
11500	0
11600	0
11700	0
11800	0
11900	0
12000	0
12100	0
12200	0
12300	0
12400	0
12500	0
12600	0
12700	0
12800	0
12900	0
13000	0
13100	0
13200	0
13300	0
13400	0
13500	0
13600	0
13700	0
13800	0
13900	0
14000	0
14100	0
14200	0
14300	0
14400	0
14500	0
14600	0
14700	0
14800	0
14900	0
15000	0
15100	0
15200	0
15300	0
15400	0
15500	0
15600	0
15700	0
15800	0
15900	0
16000	0
16100	0
16200	0
16300	1
16400	4
16500	1
16600	0
16700	2
16800	5
16900	3
17000	3
17100	3
17200	5
17300	9
17400	12
17500	13
17600	31
17700	34
17800	63
17900	96
18000	102
18100	128
18200	166
18300	187
18400	219
18500	283
18600	321
18700	391
18800	381
18900	380
19000	454
19100	442
19200	439
19300	435
19400	464
19500	456
19600	504
19700	506
19800	545
19900	503
20000	553
20100	579
20200	554
20300	567
20400	550
20500	562
20600	593
20700	542
20800	564
20900	550
21000	575
21100	519
21200	567
21300	571
21400	562
21500	536
21600	516
21700	540
21800	540
21900	583
22000	566
22100	572
22200	586
22300	587
22400	580
22500	560
22600	563
22700	577
22800	537
22900	578
23000	537
23100	503
23200	525
23300	556
23400	558
23500	561
23600	569
23700	559
23800	556
23900	578
24000	579
24100	552
24200	554
24300	539
24400	601
24500	541
24600	534
24700	576
24800	571
24900	571
25000	612
25100	600
25200	586
25300	578
25400	569
25500	577
25600	567
25700	532
25800	578
25900	567
26000	529
26100	553
26200	600
26300	603
26400	608
26500	632
26600	606
26700	618
26800	609
26900	606
27000	654
27100	576
27200	573
27300	633
27400	583
27500	631
27600	565
27700	575
27800	587
27900	584
28000	634
28100	576
28200	573
28300	586
28400	592
28500	575
28600	564
28700	578
28800	587
28900	568
29000	563
29100	597
29200	587
29300	550
29400	626
29500	573
29600	566
29700	541
29800	542
29900	579
30000	562
30100	592
30200	608
30300	573
30400	534
30500	597
30600	585
30700	588
30800	568
30900	575
31000	549
31100	562
31200	577
31300	584
31400	601
31500	615
31600	571
31700	588
31800	583
31900	623
32000	547
32100	597
32200	605
32300	550
32400	564
32500	581
32600	588
32700	598
32800	567
32900	558
33000	604
33100	546
33200	613
33300	544
33400	585
33500	528
33600	550
33700	549
33800	612
33900	517
34000	587
34100	563
34200	568
34300	574
34400	582
34500	615
34600	561
34700	585
34800	577
34900	557
35000	552
35100	572
35200	554
35300	620
35400	593
35500	584
35600	550
35700	568
35800	573
35900	573
36000	601
36100	579
36200	632
36300	611
36400	573
36500	571
36600	575
36700	606
36800	559
36900	584
37000	563
37100	547
37200	597
37300	559
37400	599
37500	567
37600	564
37700	627
37800	555
37900	604
38000	590
38100	613
38200	577
38300	601
38400	627
38500	539
38600	583
38700	567
38800	585
38900	554
39000	628
39100	590
39200	595
39300	585
39400	554
39500	594
39600	575
39700	548
39800	577
39900	634
40000	587
40100	545
40200	567
40300	533
40400	584
40500	629
40600	594
40700	566
40800	592
40900	590
41000	576
41100	588
41200	600
41300	567
41400	570
41500	630
41600	590
41700	547
41800	581
41900	569
42000	560
42100	558
42200	553
42300	544
42400	514
42500	586
42600	576
42700	597
42800	559
42900	602
43000	559
43100	591
43200	542
43300	575
43400	569
43500	575
43600	590
43700	545
43800	557
43900	578
44000	575
44100	628
44200	562
44300	595
44400	588
44500	576
44600	586
44700	583
44800	610
44900	573
45000	588
45100	579
45200	587
45300	554
45400	593
45500	567
45600	554
45700	615
45800	569
45900	546
46000	585
46100	605
46200	582
46300	576
46400	556
46500	601
46600	621
46700	600
46800	558
46900	565
47000	538
47100	599
47200	550
47300	549
47400	607
47500	594
47600	601
47700	546
47800	612
47900	581
48000	574
48100	559
48200	523
48300	566
48400	602
48500	586
48600	530
48700	583
48800	604
48900	588
49000	566
49100	571
49200	554
49300	556
49400	572
49500	529
49600	581
49700	582
49800	531
49900	636
50000	587
50100	577
50200	561
50300	545
50400	539
50500	548
50600	608
50700	604
50800	597
50900	590
51000	611
51100	555
51200	574
51300	573
51400	586
51500	578
51600	566
51700	578
51800	588
51900	598
52000	561
52100	555
52200	611
52300	556
52400	605
52500	598
52600	574
52700	578
52800	604
52900	610
53000	590
53100	550
53200	601
53300	572
53400	554
53500	575
53600	588
53700	591
53800	581
53900	589
54000	553
54100	575
54200	565
54300	595
54400	589
54500	569
54600	612
54700	565
54800	552
54900	567
55000	540
55100	562
55200	622
55300	569
55400	576
55500	596
55600	552
55700	580
55800	573
55900	586
56000	572
56100	551
56200	563
56300	615
56400	553
56500	593
56600	612
56700	557
56800	567
56900	571
57000	631
57100	582
57200	523
57300	588
57400	571
57500	571
57600	637
57700	571
57800	560
57900	602
58000	545
58100	571
58200	566
58300	574
58400	572
58500	570
58600	604
58700	587
58800	571
58900	615
59000	541
59100	567
59200	625
59300	598
59400	566
59500	567
59600	604
59700	599
59800	616
59900	594
60000	570
60100	579
60200	649
60300	588
60400	564
60500	603
60600	576
60700	591
60800	567
60900	579
61000	558
61100	589
61200	601
61300	549
61400	589
61500	600
61600	599
61700	560
61800	603
61900	612
62000	577
62100	573
62200	598
62300	549
62400	564
62500	614
62600	559
62700	538
62800	618
62900	598
63000	597
63100	612
63200	606
63300	583
63400	606
63500	596
63600	584
63700	595
63800	589
63900	602
64000	603
64100	597
64200	576
64300	603
64400	538
64500	641
64600	586
64700	602
64800	584
64900	618
65000	549
65100	550
65200	571
65300	624
65400	571
65500	597
65600	591
65700	567
65800	619
65900	627
66000	583
66100	562
66200	550
66300	555
66400	573
66500	570
66600	539
66700	570
66800	610
66900	590
67000	588
67100	557
67200	570
67300	562
67400	559
67500	587
67600	550
67700	586
67800	572
67900	536
68000	630
68100	586
68200	602
68300	566
68400	587
68500	584
68600	593
68700	558
68800	613
68900	538
69000	646
69100	581
69200	535
69300	545
69400	530
69500	582
69600	567
69700	573
69800	542
69900	573
70000	555
70100	575
70200	630
70300	583
70400	598
70500	582
70600	571
70700	560
70800	564
70900	598
71000	568
71100	567
71200	574
71300	584
71400	609
71500	566
71600	581
71700	634
71800	607
71900	563
72000	575
72100	607
72200	570
72300	609
72400	576
72500	575
72600	572
72700	602
72800	634
72900	556
73000	556
73100	576
73200	588
73300	568
73400	594
73500	575
73600	618
73700	581
73800	574
73900	566
74000	574
74100	566
74200	583
74300	602
74400	596
74500	556
74600	574
74700	572
74800	624
74900	582
75000	532
75100	549
75200	553
75300	587
75400	581
75500	564
75600	620
75700	618
75800	591
75900	560
76000	584
76100	626
76200	565
76300	567
76400	599
76500	553
76600	566
76700	601
76800	578
76900	615
77000	582
77100	565
77200	596
77300	569
77400	597
77500	612
77600	538
77700	572
77800	565
77900	596
78000	615
78100	611
78200	605
78300	576
78400	524
78500	563
78600	557
78700	598
78800	576
78900	552
79000	570
79100	611
79200	565
79300	561
79400	604
79500	573
79600	604
79700	520
79800	590
79900	570
80000	568
80100	612
80200	579
80300	601
80400	559
80500	613
80600	629
80700	600
80800	562
80900	617
81000	606
81100	583
81200	594
81300	599
81400	592
81500	555
81600	590
81700	632
81800	590
81900	555
82000	611
82100	566
82200	609
82300	611
82400	623
82500	636
82600	564
82700	573
82800	561
82900	549
83000	566
83100	557
83200	611
83300	618
83400	602
83500	587
83600	543
83700	566
83800	600
83900	569
84000	593
84100	551
84200	536
84300	573
84400	573
84500	627
84600	589
84700	580
84800	578
84900	562
85000	568
85100	585
85200	584
85300	601
85400	542
85500	570
85600	543
85700	587
85800	581
85900	560
86000	595
86100	614
86200	552
86300	565
86400	594
86500	564
86600	619
86700	616
86800	618
86900	582
87000	541
87100	553
87200	585
87300	558
87400	623
87500	546
87600	604
87700	609
87800	580
87900	571
88000	576
88100	576
88200	557
88300	622
88400	569
88500	603
88600	560
88700	552
88800	542
88900	588
89000	613
89100	561
89200	598
89300	573
89400	602
89500	583
89600	593
89700	606
89800	585
89900	574
90000	596
90100	595
90200	580
90300	553
90400	545
90500	564
90600	589
90700	555
90800	572
90900	572
91000	642
91100	557
91200	618
91300	603
91400	564
91500	580
91600	591
91700	551
91800	582
91900	613
92000	555
92100	589
92200	578
92300	631
92400	599
92500	564
92600	556
92700	600
92800	610
92900	584
93000	598
93100	543
93200	580
93300	531
93400	578
93500	535
93600	597
93700	579
93800	612
93900	584
94000	602
94100	568
94200	591
94300	601
94400	598
94500	581
94600	543
94700	531
94800	600
94900	611
95000	604
95100	625
95200	606
95300	587
95400	571
95500	546
95600	604
95700	543
95800	567
95900	608
96000	605
96100	604
96200	604
96300	611
96400	553
96500	586
96600	604
96700	591
96800	553
96900	593
97000	572
97100	582
97200	558
97300	578
97400	630
97500	582
97600	602
97700	586
97800	597
97900	553
98000	579
98100	545
98200	549
98300	571
98400	596
98500	553
98600	605
98700	547
98800	597
98900	586
99000	591
99100	559
99200	587
99300	591
99400	618
99500	562
99600	572
99700	599
99800	541
99900	599
