"Time (ps)"	"Counts per bin"
0	29630610
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	0
10500	0
10600	0
10700	0
10800	0
10900	0
11000	0
11100	0
11200	0
11300	0
11400	0
11500	0
11600	0
11700	0
11800	0
11900	0
12000	0
12100	0
12200	0
12300	0
12400	1
12500	0
12600	1
12700	2
12800	0
12900	1
13000	1
13100	5
13200	7
13300	5
13400	12
13500	9
13600	15
13700	27
13800	42
13900	57
14000	92
14100	139
14200	184
14300	277
14400	333
14500	426
14600	567
14700	630
14800	743
14900	828
15000	779
15100	937
15200	898
15300	922
15400	940
15500	958
15600	983
15700	1086
15800	1124
15900	1175
16000	1223
16100	1218
16200	1331
16300	1295
16400	1313
16500	1364
16600	1359
16700	1357
16800	1341
16900	1256
17000	1336
17100	1340
17200	1321
17300	1347
17400	1281
17500	1306
17600	1297
17700	1371
17800	1400
17900	1336
18000	1354
18100	1387
18200	1321
18300	1379
18400	1361
18500	1420
18600	1408
18700	1422
18800	1380
18900	1434
19000	1432
19100	1383
19200	1399
19300	1451
19400	1396
19500	1344
19600	1308
19700	1385
19800	1359
19900	1497
20000	1449
20100	1417
20200	1442
20300	1483
20400	1433
20500	1474
20600	1416
20700	1399
20800	1419
20900	1377
21000	1452
21100	1476
21200	1421
21300	1448
21400	1369
21500	1433
21600	1421
21700	1433
21800	1410
21900	1480
22000	1438
22100	1429
22200	1410
22300	1429
22400	1442
22500	1425
22600	1457
22700	1502
22800	1449
22900	1408
23000	1489
23100	1504
23200	1457
23300	1405
23400	1463
23500	1456
23600	1465
23700	1412
23800	1426
23900	1378
24000	1442
24100	1480
24200	1431
24300	1467
24400	1497
24500	1438
24600	1460
24700	1406
24800	1419
24900	1425
25000	1509
25100	1423
25200	1432
25300	1451
25400	1400
25500	1420
25600	1411
25700	1393
25800	1431
25900	1417
26000	1427
26100	1503
26200	1584
26300	1575
26400	1574
26500	1604
26600	1563
26700	1444
26800	1520
26900	1553
27000	1510
27100	1526
27200	1544
27300	1519
27400	1431
27500	1468
27600	1531
27700	1417
27800	1498
27900	1421
28000	1525
28100	1529
28200	1444
28300	1428
28400	1431
28500	1442
28600	1398
28700	1438
28800	1430
28900	1489
29000	1462
29100	1444
29200	1452
29300	1492
29400	1480
29500	1497
29600	1459
29700	1448
29800	1554
29900	1503
30000	1415
30100	1465
30200	1397
30300	1484
30400	1502
30500	1432
30600	1442
30700	1461
30800	1474
30900	1484
31000	1583
31100	1415
31200	1460
31300	1484
31400	1461
31500	1469
31600	1509
31700	1458
31800	1498
31900	1481
32000	1440
32100	1388
32200	1462
32300	1484
32400	1443
32500	1463
32600	1386
32700	1458
32800	1393
32900	1531
33000	1488
33100	1516
33200	1457
33300	1476
33400	1453
33500	1469
33600	1446
33700	1448
33800	1464
33900	1443
34000	1446
34100	1501
34200	1475
34300	1517
34400	1412
34500	1438
34600	1408
34700	1440
34800	1499
34900	1471
35000	1458
35100	1410
35200	1469
35300	1461
35400	1428
35500	1448
35600	1454
35700	1464
35800	1491
35900	1423
36000	1451
36100	1457
36200	1483
36300	1499
36400	1413
36500	1437
36600	1485
36700	1480
36800	1399
36900	1423
37000	1388
37100	1488
37200	1493
37300	1508
37400	1498
37500	1447
37600	1418
37700	1433
37800	1513
37900	1463
38000	1473
38100	1416
38200	1478
38300	1452
38400	1395
38500	1502
38600	1441
38700	1501
38800	1443
38900	1421
39000	1516
39100	1428
39200	1511
39300	1468
39400	1435
39500	1511
39600	1422
39700	1504
39800	1380
39900	1379
40000	1462
40100	1431
40200	1420
40300	1455
40400	1487
40500	1492
40600	1519
40700	1432
40800	1423
40900	1392
41000	1435
41100	1455
41200	1427
41300	1471
41400	1425
41500	1463
41600	1411
41700	1573
41800	1392
41900	1466
42000	1411
42100	1494
42200	1479
42300	1415
42400	1499
42500	1513
42600	1455
42700	1489
42800	1480
42900	1509
43000	1466
43100	1486
43200	1435
43300	1468
43400	1412
43500	1537
43600	1432
43700	1419
43800	1434
43900	1460
44000	1473
44100	1425
44200	1474
44300	1435
44400	1506
44500	1400
44600	1491
44700	1445
44800	1546
44900	1490
45000	1498
45100	1431
45200	1410
45300	1421
45400	1473
45500	1417
45600	1433
45700	1445
45800	1461
45900	1527
46000	1496
46100	1458
46200	1403
46300	1433
46400	1458
46500	1376
46600	1464
46700	1424
46800	1462
46900	1421
47000	1497
47100	1452
47200	1436
47300	1460
47400	1456
47500	1536
47600	1518
47700	1438
47800	1485
47900	1425
48000	1431
48100	1466
48200	1472
48300	1458
48400	1437
48500	1462
48600	1467
48700	1437
48800	1461
48900	1519
49000	1412
49100	1455
49200	1399
49300	1385
49400	1493
49500	1558
49600	1434
49700	1498
49800	1385
49900	1444
50000	1468
50100	1442
50200	1475
50300	1439
50400	1485
50500	1488
50600	1432
50700	1428
50800	1378
50900	1441
51000	1411
51100	1427
51200	1470
51300	1473
51400	1449
51500	1399
51600	1448
51700	1456
51800	1482
51900	1501
52000	1460
52100	1461
52200	1456
52300	1445
52400	1490
52500	1451
52600	1430
52700	1425
52800	1495
52900	1471
53000	1467
53100	1532
53200	1470
53300	1471
53400	1452
53500	1442
53600	1461
53700	1558
53800	1440
53900	1435
54000	1514
54100	1523
54200	1423
54300	1520
54400	1474
54500	1441
54600	1443
54700	1472
54800	1417
54900	1444
55000	1462
55100	1491
55200	1456
55300	1402
55400	1431
55500	1554
55600	1448
55700	1496
55800	1451
55900	1504
56000	1441
56100	1444
56200	1450
56300	1462
56400	1496
56500	1414
56600	1488
56700	1417
56800	1475
56900	1462
57000	1528
57100	1358
57200	1431
57300	1521
57400	1475
57500	1526
57600	1447
57700	1443
57800	1426
57900	1499
58000	1393
58100	1449
58200	1496
58300	1546
58400	1510
58500	1453
58600	1435
58700	1407
58800	1492
58900	1477
59000	1438
59100	1514
59200	1429
59300	1413
59400	1466
59500	1499
59600	1492
59700	1518
59800	1477
59900	1501
60000	1392
60100	1479
60200	1480
60300	1425
60400	1420
60500	1480
60600	1468
60700	1465
60800	1431
60900	1480
61000	1464
61100	1475
61200	1426
61300	1387
61400	1416
61500	1508
61600	1471
61700	1463
61800	1523
61900	1433
62000	1439
62100	1538
62200	1568
62300	1488
62400	1371
62500	1489
62600	1469
62700	1430
62800	1432
62900	1435
63000	1454
63100	1450
63200	1457
63300	1461
63400	1378
63500	1462
63600	1443
63700	1473
63800	1454
63900	1421
64000	1469
64100	1505
64200	1412
64300	1489
64400	1470
64500	1496
64600	1437
64700	1431
64800	1437
64900	1513
65000	1503
65100	1476
65200	1415
65300	1436
65400	1507
65500	1515
65600	1509
65700	1472
65800	1465
65900	1464
66000	1531
66100	1462
66200	1399
66300	1515
66400	1497
66500	1474
66600	1468
