"Time (ps)"	"Counts per bin"
0	28937219
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	4
9700	3
9800	3
9900	5
10000	10
10100	13
10200	31
10300	45
10400	62
10500	90
10600	147
10700	158
10800	209
10900	207
11000	245
11100	306
11200	310
11300	329
11400	325
11500	369
11600	388
11700	444
11800	493
11900	493
12000	535
12100	567
12200	611
12300	639
12400	667
12500	712
12600	743
12700	697
12800	767
12900	838
13000	800
13100	838
13200	860
13300	898
13400	896
13500	863
13600	836
13700	858
13800	909
13900	1005
14000	990
14100	885
14200	1039
14300	1047
14400	978
14500	1112
14600	1082
14700	1082
14800	1042
14900	1167
15000	1105
15100	1148
15200	1087
15300	1136
15400	1115
15500	1147
15600	1157
15700	1171
15800	1180
15900	1150
16000	1167
16100	1212
16200	1211
16300	1294
16400	1267
16500	1230
16600	1269
16700	1218
16800	1288
16900	1278
17000	1284
17100	1209
17200	1322
17300	1302
17400	1302
17500	1259
17600	1356
17700	1340
17800	1342
17900	1294
18000	1323
18100	1311
18200	1319
18300	1322
18400	1346
18500	1268
18600	1335
18700	1337
18800	1354
18900	1335
19000	1410
19100	1344
19200	1346
19300	1353
19400	1314
19500	1326
19600	1362
19700	1332
19800	1352
19900	1322
20000	1421
20100	1364
20200	1376
20300	1380
20400	1373
20500	1385
20600	1345
20700	1432
20800	1393
20900	1362
21000	1335
21100	1391
21200	1289
21300	1354
21400	1438
21500	1393
21600	1388
21700	1381
21800	1351
21900	1370
22000	1400
22100	1380
22200	1356
22300	1377
22400	1325
22500	1338
22600	1368
22700	1390
22800	1342
22900	1419
23000	1348
23100	1400
23200	1377
23300	1366
23400	1450
23500	1377
23600	1408
23700	1423
23800	1401
23900	1369
24000	1414
24100	1435
24200	1351
24300	1485
24400	1332
24500	1407
24600	1399
24700	1382
24800	1379
24900	1462
25000	1463
25100	1395
25200	1488
25300	1310
25400	1340
25500	1298
25600	1334
25700	1337
25800	1351
25900	1494
26000	1506
26100	1522
26200	1600
26300	1567
26400	1595
26500	1554
26600	1524
26700	1447
26800	1480
26900	1406
27000	1380
27100	1403
27200	1415
27300	1397
27400	1356
27500	1431
27600	1481
27700	1396
27800	1413
27900	1415
28000	1466
28100	1400
28200	1367
28300	1428
28400	1454
28500	1423
28600	1448
28700	1474
28800	1425
28900	1388
29000	1379
29100	1403
29200	1464
29300	1460
29400	1419
29500	1422
29600	1414
29700	1375
29800	1393
29900	1372
30000	1377
30100	1353
30200	1351
30300	1366
30400	1407
30500	1357
30600	1347
30700	1409
30800	1337
30900	1378
31000	1384
31100	1324
31200	1393
31300	1356
31400	1381
31500	1381
31600	1349
31700	1368
31800	1375
31900	1466
32000	1459
32100	1411
32200	1402
32300	1319
32400	1349
32500	1425
32600	1385
32700	1374
32800	1390
32900	1374
33000	1391
33100	1347
33200	1351
33300	1308
33400	1374
33500	1317
33600	1383
33700	1468
33800	1364
33900	1336
34000	1396
34100	1346
34200	1421
34300	1440
34400	1385
34500	1406
34600	1445
34700	1397
34800	1370
34900	1455
35000	1353
35100	1418
35200	1304
35300	1401
35400	1338
35500	1412
35600	1450
35700	1355
35800	1409
35900	1415
36000	1361
36100	1345
36200	1411
36300	1396
36400	1378
36500	1367
36600	1398
36700	1349
36800	1385
36900	1401
37000	1332
37100	1361
37200	1403
37300	1377
37400	1423
37500	1505
37600	1361
37700	1320
37800	1358
37900	1417
38000	1332
38100	1412
38200	1346
38300	1418
38400	1425
38500	1382
38600	1338
38700	1429
38800	1410
38900	1441
39000	1392
39100	1367
39200	1343
39300	1357
39400	1413
39500	1352
39600	1341
39700	1425
39800	1360
39900	1388
40000	1376
40100	1481
40200	1354
40300	1368
40400	1392
40500	1409
40600	1327
40700	1410
40800	1451
40900	1422
41000	1360
41100	1467
41200	1387
41300	1269
41400	1434
41500	1401
41600	1428
41700	1393
41800	1429
41900	1363
42000	1445
42100	1429
42200	1346
42300	1364
42400	1413
42500	1347
42600	1431
42700	1379
42800	1346
42900	1310
43000	1380
43100	1380
43200	1394
43300	1466
43400	1480
43500	1387
43600	1359
43700	1382
43800	1361
43900	1425
44000	1405
44100	1366
44200	1383
44300	1399
44400	1400
44500	1404
44600	1355
44700	1442
44800	1402
44900	1452
45000	1388
45100	1399
45200	1441
45300	1327
45400	1382
45500	1433
45600	1367
45700	1393
45800	1415
45900	1439
46000	1371
46100	1374
46200	1461
46300	1411
46400	1390
46500	1369
46600	1384
46700	1307
46800	1375
46900	1345
47000	1326
47100	1381
47200	1362
47300	1363
47400	1366
47500	1410
47600	1353
47700	1406
47800	1350
47900	1423
48000	1362
48100	1379
48200	1404
48300	1355
48400	1372
48500	1435
48600	1357
48700	1362
48800	1429
48900	1384
49000	1336
49100	1359
49200	1386
49300	1369
49400	1360
49500	1388
49600	1481
49700	1351
49800	1447
49900	1415
50000	1397
50100	1360
50200	1387
50300	1417
50400	1421
50500	1364
50600	1386
50700	1389
50800	1382
50900	1348
51000	1407
51100	1369
51200	1376
51300	1379
51400	1407
51500	1386
51600	1464
51700	1391
51800	1409
51900	1402
52000	1365
52100	1402
52200	1406
52300	1374
52400	1401
52500	1371
52600	1404
52700	1384
52800	1429
52900	1417
53000	1358
53100	1376
53200	1422
53300	1449
53400	1404
53500	1415
53600	1414
53700	1333
53800	1326
53900	1426
54000	1343
54100	1337
54200	1387
54300	1391
54400	1430
54500	1306
54600	1368
54700	1377
54800	1350
54900	1423
55000	1396
55100	1369
55200	1403
55300	1410
55400	1332
55500	1390
55600	1434
55700	1395
55800	1430
55900	1377
56000	1435
56100	1385
56200	1396
56300	1402
56400	1382
56500	1329
56600	1435
56700	1397
56800	1460
56900	1351
57000	1378
57100	1387
57200	1422
57300	1347
57400	1413
57500	1372
57600	1405
57700	1417
57800	1378
57900	1374
58000	1374
58100	1388
58200	1339
58300	1351
58400	1358
58500	1368
58600	1351
58700	1341
58800	1387
58900	1451
59000	1411
59100	1350
59200	1377
59300	1358
59400	1342
59500	1358
59600	1435
59700	1449
59800	1362
59900	1440
60000	1389
60100	1466
60200	1379
60300	1357
60400	1422
60500	1334
60600	1418
60700	1396
60800	1390
60900	1420
61000	1330
61100	1387
61200	1392
61300	1366
61400	1304
61500	1359
61600	1397
61700	1338
61800	1332
61900	1398
62000	1441
62100	1429
62200	1397
62300	1409
62400	1433
62500	1364
62600	1394
62700	1367
62800	1374
62900	1422
63000	1346
63100	1391
63200	1380
63300	1354
63400	1387
63500	1444
63600	1413
63700	1381
63800	1338
63900	1377
64000	1354
64100	1360
64200	1429
64300	1419
64400	1358
64500	1396
64600	1403
64700	1344
64800	1349
64900	1424
65000	1447
65100	1360
65200	1449
65300	1387
65400	1344
65500	1425
65600	1359
65700	1340
65800	1359
65900	1428
66000	1402
66100	1382
66200	1460
66300	1427
66400	1434
66500	1369
66600	1378
66700	1419
66800	1387
66900	1379
67000	1452
67100	1397
67200	1425
67300	1406
67400	1488
67500	1400
67600	1389
67700	1377
67800	1338
67900	1446
68000	1382
68100	1348
68200	1458
68300	1376
68400	1401
68500	1441
68600	1375
68700	1384
68800	1443
68900	1408
69000	1396
69100	1373
69200	1354
69300	1423
69400	1513
69500	1433
69600	1476
69700	1462
69800	1376
69900	1443
70000	1426
70100	1390
70200	1342
70300	1377
70400	1322
70500	1403
70600	1373
70700	1418
