"Time (ps)"	"Counts per bin"
0	13160620
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	0
10500	0
10600	0
10700	0
10800	0
10900	0
11000	0
11100	0
11200	0
11300	0
11400	0
11500	0
11600	0
11700	0
11800	0
11900	0
12000	0
12100	0
12200	0
12300	0
12400	0
12500	0
12600	0
12700	3
12800	3
12900	0
13000	1
13100	3
13200	4
13300	2
13400	11
13500	11
13600	17
13700	28
13800	40
13900	33
14000	73
14100	69
14200	89
14300	108
14400	130
14500	142
14600	151
14700	141
14800	150
14900	154
15000	153
15100	185
15200	212
15300	193
15400	208
15500	209
15600	221
15700	253
15800	272
15900	255
16000	260
16100	272
16200	290
16300	272
16400	294
16500	319
16600	289
16700	335
16800	294
16900	324
17000	315
17100	305
17200	358
17300	353
17400	326
17500	375
17600	386
17700	337
17800	388
17900	392
18000	398
18100	442
18200	395
18300	374
18400	405
18500	389
18600	421
18700	395
18800	408
18900	416
19000	455
19100	436
19200	443
19300	409
19400	419
19500	408
19600	422
19700	420
19800	489
19900	450
20000	441
20100	427
20200	463
20300	440
20400	465
20500	426
20600	442
20700	483
20800	486
20900	453
21000	459
21100	470
21200	502
21300	499
21400	493
21500	519
21600	503
21700	512
21800	467
21900	493
22000	497
22100	497
22200	460
22300	511
22400	473
22500	531
22600	483
22700	524
22800	528
22900	490
23000	513
23100	485
23200	525
23300	515
23400	528
23500	521
23600	539
23700	500
23800	501
23900	551
24000	527
24100	522
24200	574
24300	555
24400	567
24500	565
24600	525
24700	583
24800	544
24900	524
25000	570
25100	534
25200	527
25300	586
25400	545
25500	512
25600	522
25700	560
25800	532
25900	540
26000	564
26100	543
26200	579
26300	587
26400	580
26500	604
26600	602
26700	546
26800	561
26900	591
27000	586
27100	637
27200	616
27300	550
27400	572
27500	578
27600	565
27700	584
27800	597
27900	570
28000	556
28100	553
28200	576
28300	640
28400	566
28500	575
28600	548
28700	520
28800	547
28900	533
29000	607
29100	596
29200	582
29300	552
29400	590
29500	549
29600	552
29700	561
29800	557
29900	549
30000	583
30100	544
30200	560
30300	560
30400	546
30500	541
30600	590
30700	560
30800	554
30900	574
31000	608
31100	550
31200	545
31300	556
31400	554
31500	575
31600	584
31700	546
31800	494
31900	608
32000	555
32100	562
32200	562
32300	580
32400	553
32500	601
32600	576
32700	551
32800	594
32900	576
33000	614
33100	577
33200	559
33300	555
33400	534
33500	556
33600	572
33700	575
33800	590
33900	603
34000	571
34100	562
34200	562
34300	606
34400	562
34500	593
34600	607
34700	545
34800	552
34900	613
35000	570
35100	531
35200	605
35300	576
35400	595
35500	573
35600	597
35700	564
35800	541
35900	587
36000	574
36100	528
36200	568
36300	528
36400	585
36500	592
36600	583
36700	579
36800	570
36900	549
37000	578
37100	584
37200	593
37300	574
37400	575
37500	572
37600	597
37700	580
37800	579
37900	567
38000	540
38100	557
38200	570
38300	553
38400	542
38500	599
38600	546
38700	576
38800	542
38900	596
39000	587
39100	538
39200	588
39300	553
39400	570
39500	590
39600	616
39700	579
39800	608
39900	592
40000	548
40100	592
40200	542
40300	606
40400	601
40500	589
40600	548
40700	569
40800	579
40900	568
41000	544
41100	601
41200	598
41300	604
41400	526
41500	548
41600	566
41700	593
41800	551
41900	605
42000	569
42100	574
42200	624
42300	566
42400	586
42500	579
42600	561
42700	596
42800	588
42900	614
43000	580
43100	616
43200	562
43300	581
43400	603
43500	587
43600	603
43700	602
43800	559
43900	573
44000	571
44100	580
44200	596
44300	587
44400	578
44500	553
44600	611
44700	598
44800	594
44900	569
45000	558
45100	554
45200	575
45300	523
45400	552
45500	620
45600	567
45700	597
45800	587
45900	573
46000	564
46100	538
46200	555
46300	564
46400	570
46500	596
46600	546
46700	546
46800	620
46900	567
47000	573
47100	552
47200	577
47300	550
47400	568
47500	563
47600	527
47700	590
47800	529
47900	597
48000	601
48100	604
48200	525
48300	578
48400	578
48500	562
48600	521
48700	568
48800	568
48900	580
49000	540
49100	576
49200	588
49300	588
49400	617
49500	589
49600	585
49700	565
49800	544
49900	547
50000	593
50100	568
50200	575
50300	606
50400	605
50500	594
50600	542
50700	582
50800	593
50900	522
51000	604
51100	551
51200	569
51300	565
51400	596
51500	561
51600	573
51700	630
51800	573
51900	591
52000	624
52100	545
52200	556
52300	579
52400	556
52500	578
52600	598
52700	566
52800	617
52900	558
53000	539
53100	598
53200	561
53300	581
53400	595
53500	544
53600	562
53700	579
53800	532
53900	567
54000	548
54100	577
54200	588
54300	551
54400	577
54500	587
54600	570
54700	566
54800	557
54900	585
55000	590
55100	618
55200	593
55300	610
55400	570
55500	562
55600	600
55700	576
55800	613
55900	545
56000	599
56100	596
56200	560
56300	539
56400	594
56500	571
56600	553
56700	571
56800	559
56900	601
57000	553
57100	590
57200	632
57300	561
57400	613
57500	583
57600	615
57700	593
57800	559
57900	623
58000	610
58100	613
58200	603
58300	570
58400	572
58500	577
58600	528
58700	599
58800	563
58900	555
59000	578
59100	569
59200	593
59300	583
59400	582
59500	600
59600	566
59700	527
59800	558
59900	524
60000	584
60100	564
60200	577
60300	576
60400	581
60500	517
60600	566
60700	582
60800	587
60900	564
61000	568
61100	587
61200	508
61300	593
61400	551
61500	549
61600	586
61700	562
61800	548
61900	581
62000	590
62100	573
62200	602
62300	598
62400	615
62500	533
62600	618
62700	604
62800	583
62900	576
63000	573
63100	585
63200	606
63300	591
63400	592
63500	518
