"Time (ps)"	"Counts per bin"
0	13205396
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	0
10500	0
10600	0
10700	0
10800	0
10900	0
11000	0
11100	0
11200	0
11300	0
11400	0
11500	0
11600	0
11700	0
11800	0
11900	0
12000	0
12100	0
12200	0
12300	0
12400	0
12500	0
12600	0
12700	1
12800	0
12900	1
13000	0
13100	2
13200	2
13300	2
13400	2
13500	6
13600	12
13700	8
13800	16
13900	14
14000	30
14100	46
14200	89
14300	106
14400	138
14500	170
14600	206
14700	240
14800	274
14900	314
15000	340
15100	318
15200	335
15300	359
15400	374
15500	364
15600	418
15700	406
15800	457
15900	461
16000	482
16100	485
16200	490
16300	550
16400	516
16500	542
16600	589
16700	542
16800	534
16900	543
17000	508
17100	538
17200	494
17300	523
17400	499
17500	539
17600	530
17700	522
17800	513
17900	561
18000	532
18100	554
18200	545
18300	549
18400	552
18500	555
18600	569
18700	576
18800	510
18900	550
19000	589
19100	551
19200	571
19300	557
19400	522
19500	541
19600	555
19700	588
19800	576
19900	578
20000	511
20100	533
20200	559
20300	533
20400	560
20500	530
20600	562
20700	600
20800	574
20900	537
21000	558
21100	572
21200	583
21300	586
21400	599
21500	619
21600	570
21700	583
21800	566
21900	580
22000	556
22100	586
22200	553
22300	576
22400	572
22500	613
22600	574
22700	566
22800	570
22900	569
23000	591
23100	545
23200	540
23300	576
23400	540
23500	614
23600	539
23700	579
23800	535
23900	546
24000	549
24100	590
24200	536
24300	547
24400	568
24500	593
24600	537
24700	635
24800	570
24900	555
25000	577
25100	576
25200	606
25300	537
25400	614
25500	576
25600	569
25700	583
25800	561
25900	544
26000	599
26100	569
26200	597
26300	628
26400	628
26500	652
26600	583
26700	625
26800	622
26900	629
27000	579
27100	611
27200	601
27300	597
27400	615
27500	605
27600	625
27700	524
27800	584
27900	555
28000	597
28100	593
28200	585
28300	624
28400	563
28500	560
28600	583
28700	598
28800	580
28900	600
29000	572
29100	585
29200	575
29300	551
29400	543
29500	583
29600	597
29700	545
29800	542
29900	600
30000	542
30100	576
30200	588
30300	571
30400	551
30500	601
30600	553
30700	547
30800	556
30900	557
31000	576
31100	551
31200	583
31300	542
31400	606
31500	562
31600	564
31700	603
31800	636
31900	533
32000	583
32100	639
32200	571
32300	558
32400	592
32500	563
32600	585
32700	583
32800	569
32900	562
33000	559
33100	552
33200	596
33300	622
33400	605
33500	579
33600	575
33700	571
33800	583
33900	602
34000	603
34100	537
34200	607
34300	560
34400	581
34500	577
34600	624
34700	562
34800	566
34900	591
35000	586
35100	554
35200	604
35300	560
35400	559
35500	543
35600	609
35700	603
35800	627
35900	588
36000	590
36100	565
36200	575
36300	565
36400	606
36500	569
36600	599
36700	574
36800	567
36900	566
37000	578
37100	574
37200	572
37300	584
37400	567
37500	554
37600	577
37700	591
37800	590
37900	584
38000	581
38100	593
38200	556
38300	609
38400	598
38500	564
38600	585
38700	581
38800	581
38900	569
39000	595
39100	561
39200	554
39300	628
39400	596
39500	559
39600	562
39700	565
39800	585
39900	616
40000	587
40100	588
40200	610
40300	563
40400	538
40500	557
40600	540
40700	580
40800	558
40900	587
41000	567
41100	574
41200	614
41300	597
41400	564
41500	575
41600	563
41700	574
41800	564
41900	558
42000	573
42100	600
42200	559
42300	541
42400	548
42500	587
42600	539
42700	584
42800	568
42900	624
43000	574
43100	603
43200	567
43300	580
43400	585
43500	592
43600	569
43700	555
43800	618
43900	607
44000	589
44100	549
44200	588
44300	624
44400	522
44500	556
44600	565
44700	560
44800	573
44900	595
45000	572
45100	621
45200	601
45300	574
45400	598
45500	585
45600	570
45700	549
45800	556
45900	558
46000	527
46100	597
46200	579
46300	567
46400	583
46500	583
46600	607
46700	599
46800	604
46900	567
47000	540
47100	589
47200	556
47300	627
47400	586
47500	577
47600	580
47700	531
47800	574
47900	621
48000	609
48100	537
48200	595
48300	571
48400	581
48500	563
48600	587
48700	555
48800	510
48900	569
49000	599
49100	576
49200	595
49300	606
49400	618
49500	617
49600	598
49700	581
49800	611
49900	568
50000	555
50100	547
50200	577
50300	572
50400	564
50500	549
50600	578
50700	607
50800	567
50900	557
51000	558
51100	542
51200	590
51300	562
51400	554
51500	568
51600	597
51700	613
51800	608
51900	599
52000	589
52100	544
52200	573
52300	597
52400	567
52500	619
52600	587
52700	548
52800	562
52900	612
53000	576
53100	560
53200	610
53300	599
53400	603
53500	534
53600	577
53700	576
53800	576
53900	590
54000	566
54100	561
54200	593
54300	538
54400	573
54500	569
54600	572
54700	575
54800	588
54900	567
55000	569
55100	556
55200	586
55300	574
55400	580
55500	606
55600	608
55700	557
55800	538
55900	618
56000	574
56100	587
56200	554
56300	603
56400	596
56500	599
56600	543
56700	605
56800	592
56900	572
57000	555
57100	542
57200	592
57300	556
57400	584
57500	587
57600	578
57700	552
57800	582
57900	584
58000	536
58100	586
58200	552
58300	544
58400	579
58500	569
58600	585
58700	541
58800	617
58900	597
59000	606
59100	601
59200	588
59300	581
59400	566
59500	505
59600	590
59700	599
59800	544
59900	579
60000	579
60100	568
60200	534
60300	569
60400	615
60500	570
60600	580
60700	613
60800	585
60900	559
61000	577
61100	606
61200	606
61300	566
61400	568
61500	561
61600	524
61700	553
61800	621
61900	595
62000	582
62100	608
62200	596
62300	557
62400	598
62500	621
62600	584
62700	593
62800	583
62900	583
63000	556
63100	587
63200	566
63300	590
63400	577
63500	590
63600	552
63700	559
63800	560
63900	578
64000	560
64100	617
64200	576
64300	565
64400	565
64500	555
64600	582
64700	594
64800	613
64900	570
65000	559
65100	578
65200	642
65300	596
65400	570
65500	586
65600	579
65700	626
65800	550
65900	612
66000	564
66100	584
66200	574
66300	545
66400	585
66500	615
66600	612
66700	557
66800	594
66900	572
67000	574
67100	604
67200	559
67300	558
67400	576
67500	569
67600	567
67700	574
67800	577
67900	586
68000	566
68100	601
68200	565
68300	604
68400	595
68500	578
68600	575
68700	567
68800	579
68900	588
69000	600
69100	609
69200	540
69300	589
69400	563
69500	572
69600	627
69700	597
69800	611
69900	568
70000	569
70100	566
70200	598
70300	555
70400	585
70500	592
70600	573
70700	557
70800	541
70900	574
71000	582
71100	628
71200	589
71300	594
71400	540
71500	557
71600	569
71700	608
71800	622
71900	561
72000	620
72100	616
72200	539
72300	579
72400	561
72500	606
72600	598
72700	602
72800	598
72900	571
73000	591
73100	585
73200	598
73300	551
73400	585
73500	583
73600	602
73700	600
73800	626
73900	608
74000	640
74100	550
74200	589
74300	593
74400	523
74500	590
74600	608
74700	580
74800	542
74900	593
75000	609
75100	612
75200	584
75300	580
75400	616
75500	588
75600	582
75700	594
75800	578
75900	554
76000	597
76100	631
76200	565
76300	591
76400	587
76500	609
76600	561
76700	566
76800	553
76900	612
77000	570
77100	594
77200	594
77300	573
77400	528
77500	594
77600	536
77700	605
77800	628
77900	604
78000	576
78100	560
78200	557
78300	572
78400	602
78500	576
78600	613
78700	610
78800	589
78900	619
79000	566
79100	586
79200	556
79300	590
79400	604
79500	606
79600	629
79700	583
79800	603
79900	620
80000	598
80100	578
80200	581
80300	601
80400	602
80500	603
80600	577
80700	632
80800	579
80900	573
81000	584
81100	617
81200	570
81300	539
81400	561
81500	606
81600	621
81700	554
81800	557
81900	558
82000	584
82100	581
82200	598
82300	569
82400	590
82500	566
82600	581
82700	558
82800	537
82900	598
83000	614
83100	626
83200	588
83300	577
83400	594
83500	574
83600	605
83700	593
83800	596
83900	615
84000	613
84100	567
84200	571
84300	574
84400	565
84500	632
84600	566
84700	613
84800	568
84900	627
85000	582
85100	588
85200	611
85300	587
85400	571
85500	614
85600	541
85700	609
85800	550
85900	587
86000	561
86100	580
86200	600
86300	607
86400	566
86500	600
86600	607
86700	554
86800	582
86900	564
87000	601
87100	572
87200	612
87300	581
87400	568
87500	522
87600	583
87700	564
87800	600
87900	583
88000	557
88100	606
88200	609
88300	577
88400	592
88500	562
88600	596
88700	640
88800	590
88900	603
89000	566
89100	632
89200	559
89300	551
89400	571
89500	582
89600	568
89700	623
89800	576
89900	576
90000	547
90100	605
90200	598
90300	571
90400	567
90500	607
90600	567
90700	546
90800	563
90900	592
91000	628
91100	558
91200	551
91300	552
91400	564
91500	583
91600	559
91700	624
91800	567
91900	580
92000	553
92100	586
92200	568
92300	622
92400	579
92500	638
92600	548
92700	645
92800	554
92900	583
93000	568
