"Time differences (ps)"	"Normalized correlation g(2)"
-75000	2.2948548178953185
-74900	2.391986807420646
-74800	2.5056432204724666
-74700	2.6112159263361727
-74600	2.7262493746818675
-74500	2.862932877925699
-74400	2.9901301380339516
-74300	3.1427005484645196
-74200	3.2721163654351253
-74100	3.4512329562531616
-74000	3.646312956218705
-73900	3.7980418450807947
-73800	3.9859051600802924
-73700	4.145309745673052
-73600	4.340644752174498
-73500	4.510147596589004
-73400	4.683067528584605
-73300	4.8325013586235706
-73200	4.998026101077994
-73100	5.132669552034605
-73000	5.249794053974702
-72900	5.310613112787489
-72800	5.369723627809728
-72700	5.405730550679185
-72600	5.382422953297681
-72500	5.339913363762705
-72400	5.261651857894176
-72300	5.17607166444524
-72200	5.041275209567087
-72100	4.880799596523536
-72000	4.74080100831297
-71900	4.574562247558019
-71800	4.401718817523188
-71700	4.247439863302072
-71600	4.087882273787771
-71500	3.9512497718511193
-71400	3.827393097363192
-71300	3.7137621849649616
-71200	3.6347866607959043
-71100	3.5763391627670122
-71000	3.536864151009279
-70900	3.5240883235605547
-70800	3.524955345782624
-70700	3.559024218979221
-70600	3.5647873666906214
-70500	3.608852496094603
-70400	3.6455734372645874
-70300	3.714935215030114
-70200	3.7581078215584363
-70100	3.8233384934423396
-70000	3.8708972123881877
-69900	3.9228930450587423
-69800	3.9592569770784634
-69700	3.9846811287079595
-69600	4.009926775762324
-69500	4.03909952346959
-69400	4.044811669873809
-69300	4.05156934307523
-69200	4.016123434584759
-69100	4.012731847657253
-69000	3.978433468578344
-68900	3.9037930555196323
-68800	3.8915782424498944
-68700	3.834176271218203
-68600	3.7574703052186793
-68500	3.6707680830117715
-68400	3.599595758841336
-68300	3.536124632055161
-68200	3.4471273510251286
-68100	3.3693248569212235
-68000	3.297056004646407
-67900	3.2225685955092365
-67800	3.1468061536925527
-67700	3.066810603379885
-67600	3.0276415994652344
-67500	2.929540585103477
-67400	2.869078535440954
-67300	2.795713155061755
-67200	2.7516480256577736
-67100	2.709112935469208
-67000	2.632151962933782
-66900	2.582910200850976
-66800	2.545679246609186
-66700	2.4848856884499892
-66600	2.4438041355160687
-66500	2.402187068856753
-66400	2.3539143316103774
-66300	2.324945589131834
-66200	2.287077118550287
-66100	2.251937217902899
-66000	2.2139157433998107
-65900	2.171712161707919
-65800	2.1443499604055622
-65700	2.1115561198884785
-65600	2.065017427086241
-65500	2.032631597026602
-65400	2.00572840748887
-65300	1.9581441878894317
-65200	1.9225452754774186
-65100	1.8729210035907589
-65000	1.830640919938096
-64900	1.7748454898825916
-64800	1.7508493748541503
-64700	1.6911778454529252
-64600	1.6613675814059028
-64500	1.6219945722625304
-64400	1.5865486637720592
-64300	1.5533723134511215
-64200	1.518385416725275
-64100	1.4723057356876623
-64000	1.4622329775195069
-63900	1.4104411500776743
-63800	1.3848639945266366
-63700	1.355691246819371
-63600	1.319531320028372
-63500	1.2865079736289762
-63400	1.2613133278817923
-63300	1.2322425827888877
-63200	1.2173247004385814
-63100	1.1891719788749266
-63000	1.1672669174408872
-62900	1.1501049775746373
-62800	1.1347280834597062
-62700	1.1147610716985272
-62600	1.0933150220291126
-62500	1.0734755135358847
-62400	1.0577161096170995
-62300	1.0332864834776236
-62200	1.0111009148540913
-62100	1.0058477802144963
-62000	0.9820301697611867
-61900	0.956274509635017
-61800	0.9419941436244674
-61700	0.9391380704223575
-61600	0.9262857410128629
-61500	0.9087667919963494
-61400	0.9016266089910745
-61300	0.8874992469020666
-61200	0.8734993880810099
-61100	0.8627126116123269
-61000	0.8480497357979233
-60900	0.8560569410252672
-60800	0.8342538822055888
-60700	0.8323668338399091
-60600	0.8271391998539043
-60500	0.8202285227309419
-60400	0.8161229175029089
-60300	0.8153323972416107
-60200	0.8139043606405556
-60100	0.8044691188121568
-60000	0.8041631109690737
-59900	0.8025565697928868
-59800	0.8011285331918319
-59700	0.8013835397277345
-59600	0.7963854116240422
-59500	0.805540146262948
-59400	0.7950848782909385
-59300	0.797889950185868
-59200	0.8005420181592556
-59100	0.8158934116205965
-59000	0.8089572338440438
-58900	0.8179079632542275
-58800	0.8282102273046955
-58700	0.8426180965831964
-58600	0.8515178246861996
-58500	0.8609785671681888
-58400	0.8637581384095279
-58300	0.8829091292558184
-58200	0.8912478429798358
-58100	0.9180490299032066
-58000	0.9358229854556227
-57900	0.965352742313152
-57800	0.9852177514599701
-57700	1.0227802141984337
-57600	1.049530399814624
-57500	1.0724809880458643
-57400	1.1176171449006371
-57300	1.1600757331284317
-57200	1.1910590272406063
-57100	1.2449929095840213
-57000	1.2825043710153043
-56900	1.3465620128340552
-56800	1.3971553095571452
-56700	1.4436175003986118
-56600	1.5119082507133472
-56500	1.5670916650826854
-56400	1.6272477069021254
-56300	1.696787989242784
-56200	1.7758655160262022
-56100	1.843340245426049
-56000	1.916170112079852
-55900	2.008405976115848
-55800	2.0775637486526524
-55700	2.1698761146494197
-55600	2.2402324179049664
-55500	2.3315757590653035
-55400	2.431130310681706
-55300	2.523799685828737
-55200	2.6150665250283027
-55100	2.7200272152058425
-55000	2.8113960570197696
-54900	2.9208193615756057
-54800	3.0246835236487635
-54700	3.1509882608813564
-54600	3.2696683026904596
-54500	3.3876598268526257
-54400	3.557902190221249
-54300	3.7044799470581045
-54200	3.8467480934382046
-54100	4.0255076751059775
-54000	4.223163241084138
-53900	4.369613494653041
-53800	4.584609505072584
-53700	4.82571818476856
-53600	5.081821248775612
-53500	5.313035674878564
-53400	5.533692830395146
-53300	5.789719392441428
-53200	6.056048218538177
-53100	6.354329363583532
-53000	6.638279141311156
-52900	6.916618775248922
-52800	7.163235596120395
-52700	7.403273248365579
-52600	7.648870043093442
-52500	7.849636688809615
-52400	8.00955128747418
-52300	8.143353216862312
-52200	8.282102273046956
-52100	8.31989424166773
-52000	8.25963619723393
-51900	8.18621981554755
-51800	8.093499439093339
-51700	7.90553412147948
-51600	7.676155742435028
-51500	7.430303941171262
-51400	7.097112401360833
-51300	6.82769799617966
-51200	6.448860286442652
-51100	6.10115887473936
-51000	5.745220751926412
-50900	5.3852790264997905
-50800	5.052393494532444
-50700	4.696353369105134
-50600	4.3729030789661865
-50500	4.082195628037141
-50400	3.790646655539617
-50300	3.5468859078702537
-50200	3.2825206320999545
-50100	3.064541045210351
-50000	2.865304438709594
-49900	2.7019982531175235
-49800	2.5380035498785154
-49700	2.4077717119930213
-49600	2.2764943473103263
-49500	2.162123915957978
-49400	2.067669495059629
-49300	1.9899180022629044
-49200	1.9355251081548646
-49100	1.8858498349610242
-49000	1.824724768305154
-48900	1.8129434663464505
-48800	1.7993006166756578
-48700	1.7985355970679497
-48600	1.8231437277825575
-48500	1.8501744205882407
-48400	1.906071853258106
-48300	1.9937175996478542
-48200	2.121424872827912
-48100	2.273510770840265
-48000	2.486007717207961
-47900	2.7726605642161535
-47800	3.138339936700584
-47700	3.638560757527264
-47600	4.252335988791403
-47500	5.0468598527033555
-47400	5.9812803022115135
-47300	7.167111695466115
-47200	8.566893572343059
-47100	10.22808264917383
-47000	12.038705556043565
-46900	14.152862742598252
-46800	16.41902932520452
-46700	18.663086841148026
-46600	20.883173742716682
-46500	22.97081024953749
-46400	24.653394374730496
-46300	25.82446088955633
-46200	26.555819634525193
-46100	26.586343916872742
-46000	26.08219599539316
-45900	25.068519514526454
-45800	23.58190791217465
-45700	21.726174349103733
-45600	19.75655486709868
-45500	17.54376115245684
-45400	15.35552456722243
-45300	13.305807532290348
-45200	11.39856264896709
-45100	9.741581179978713
-45000	8.355850163230008
-44900	7.264422189566575
-44800	6.406248694293316
-44700	5.788316856493963
-44600	5.329279591215564
-44500	4.995195528529475
-44400	4.766378163864008
-44300	4.573440218800047
-44200	4.453995157383235
-44100	4.323304307733117
-44000	4.202864720826285
-43900	4.114351952214468
-43800	3.956757913026617
-43700	3.863961034611635
-43600	3.77565227122854
-43500	3.708713055554089
-43400	3.6394787810565137
-43300	3.5714940385848615
-43200	3.5178406634309396
-43100	3.39380548436788
-43000	3.286422232099265
-42900	3.146729651731782
-42800	3.0076235863968748
-42700	2.8578072465540556
-42600	2.7246428335056807
-42500	2.602775209997794
-42400	2.493759915899402
-42300	2.414860893691116
-42200	2.322013013968953
-42100	2.2147572649682896
-42000	2.130018593087832
-41900	2.0302345355891167
-41800	1.9177766532560387
-41700	1.8061857931450298
-41600	1.7136694219195407
-41500	1.6282167317385556
-41400	1.5421265252178138
-41300	1.4714387134655933
-41200	1.4020769357000669
-41100	1.3470720259058606
-41000	1.2974477540192009
-40900	1.2539946403013855
-40800	1.2136016050144025
-40700	1.1832303265883943
-40600	1.146254378882507
-40500	1.1083859083009604
-40400	1.0895664259513431
-40300	1.0587871370678907
-40200	1.0274723344590428
-40100	1.009162865181231
-40000	0.97756755538289
-39900	0.956937526628364
-39800	0.9421726481995992
-39700	0.9170290037595958
-39600	0.9081292756565926
-39500	0.8987195344817841
-39400	0.8913498455941969
-39300	0.8675067344872971
-39200	0.8507273044249014
-39100	0.8446581488704178
-39000	0.8356564181530535
-38900	0.8271647005074946
-38800	0.811940810314105
-38700	0.8076822011645305
-38600	0.802582070446477
-38500	0.7948808730622163
-38400	0.796461913584813
-38300	0.7982469593361317
-38200	0.783584083521728
-38100	0.7838645907112209
-38000	0.7932743318860296
-37900	0.7909792730629055
-37800	0.7909792730629055
-37700	0.8100282612948351
-37600	0.8140063632549167
-37500	0.8214015527960942
-37400	0.8410880573677804
-37300	0.8467237018112295
-37200	0.8700823004999141
-37100	0.8839546560530195
-37000	0.8923443710842173
-36900	0.9185080416678314
-36800	0.9383220495074689
-36700	0.9590795815299463
-36600	0.9853962560351021
-36500	1.0061792887111698
-36400	1.040197160600586
-36300	1.0592971501396962
-36200	1.0952020703947922
-36100	1.12934744555216
-36000	1.144341829863237
-35900	1.1733615736489609
-35800	1.2036818507677887
-35700	1.2263264311559459
-35600	1.261007320038709
-35500	1.2931381435624456
-35400	1.3064239840829748
-35300	1.330700606300909
-35200	1.3534726899570175
-35100	1.376984292567244
-35000	1.387873071650288
-34900	1.4145722559592977
-34800	1.4211004232784061
-34700	1.4224009566115097
-34600	1.4373953409225868
-34500	1.4515992049723656
-34400	1.445453547457111
-34300	1.448309620659221
-34200	1.4526447317695665
-34100	1.4613914559510282
-34000	1.4680216258844976
-33900	1.470367686014802
-33800	1.4629724964736246
-33700	1.4739377775174396
-33600	1.4655225618326513
-33500	1.4650890507216168
-33400	1.4569543422263216
-33300	1.4593004023566263
-33200	1.4451475396140279
-33100	1.439511895170579
-33000	1.4408379291572728
-32900	1.4322952102045332
-32800	1.4222734533435584
-32700	1.4244665095523212
-32600	1.4059530350457874
-32500	1.4174028285078173
-32400	1.4182698507298863
-32300	1.4059020337386068
-32200	1.4076615788363354
-32100	1.4278325958262366
-32000	1.4282916075908614
-31900	1.4165613069393386
-31800	1.4271440781792994
-31700	1.4258945461533763
-31600	1.4127107082472081
-31500	1.4017709278569837
-31400	1.3988638533476931
-31300	1.3846089879907337
-31200	1.3773413017175076
-31100	1.3637494533538952
-31000	1.3535236912641981
-30900	1.332409150091457
-30800	1.3201688363681288
-30700	1.3017063631687753
-30600	1.2833968938909637
-30500	1.262817866443618
-30400	1.2487160050082002
-30300	1.2403262899770024
-30200	1.2290295004365142
-30100	1.2255614115482378
-30000	1.210771032465883
-29900	1.1945016154752923
-29800	1.1691794664601571
-29700	1.171270520054559
-29600	1.1499264729995056
-29500	1.1303674716957706
-29400	1.119886703070171
-29300	1.105682839020392
-29200	1.088597401114913
-29100	1.0799526795478125
-29000	1.0537890089641984
-28900	1.0480513619063883
-28800	1.0332609828240333
-28700	1.0084488468807036
-28600	0.9941939815237442
-28500	0.9833307030942904
-28400	0.976522028585689
-28300	0.9531379292434141
-28200	0.9505623632307971
-28100	0.9376335318605317
-28000	0.9386280573505521
-27900	0.9442382011404109
-27800	0.9621141593071881
-27700	1.0057457776001353
-27600	1.109405934444571
-27500	1.3163182376759985
-27400	1.7105073408743476
-27300	2.4200120257163498
-27200	3.668651528763779
-27100	5.5775794552239955
-27000	8.340881279572521
-26900	11.842886037123904
-26800	15.57518719724899
-26700	18.332037356239177
-26600	19.334136540375905
-26500	18.6194042215479
-26400	16.95655760223376
-26300	15.228862820839572
-26200	14.027501529548498
-26100	13.473270324417632
-26000	13.635454481251731
-25900	14.050095108629474
-25800	14.323436614463548
-25700	14.035585236736614
-25600	13.142093336240833
-25500	11.873843830582489
-25400	10.444149687044163
-25300	8.94792433828883
-25200	7.419032652284365
-25100	5.94458486169512
-25000	4.600776919448813
-24900	3.489432935331382
-24800	2.5718174165392096
-24700	1.9229022846276824
-24600	1.4764878428764663
-24500	1.1609937566576813
-24400	0.9669082821821584
-24300	0.8555979292606424
-24200	0.7830740704499227
-24100	0.7189654273239912
-24000	0.6980293907263818
-23900	0.6792609096839453
-23800	0.6643175266800487
-23700	0.6536837541329074
-23600	0.625964543680287
-23500	0.6201758953152964
-23400	0.608216088781461
-23300	0.6034474665600811
-23200	0.5909266456472599
-23100	0.5792473463029176
-23000	0.5764422744079882
-22900	0.5703986195070949
-22800	0.5739687110097323
-22700	0.5635134430377228
-22600	0.5708066299645392
-22500	0.5749377358461625
-22400	0.5936552155814185
-22300	0.6220374430273858
-22200	0.657559853478628
-22100	0.7265391214403005
-22000	0.8109462848240847
-21900	0.9271272625813417
-21800	1.1047648154911425
-21700	1.3592868389755985
-21600	1.7189990585199064
-21500	2.2039449878460164
-21400	2.8339131341399755
-21300	3.750100616331092
-21200	4.925196234424192
-21100	6.4844591988546645
-21000	8.448213530533955
-20900	10.795982204629079
-20800	13.457128410694994
-20700	16.346862475544064
-20600	19.121384587472306
-20500	21.568019295536896
-20400	23.195879018125186
-20300	23.81273982847375
-20200	23.12565021813759
-20100	21.243268472064845
-20000	18.43898709739676
-19900	15.110412284912782
-19800	11.888149697246629
-19700	9.011573969650136
-19600	6.696573635418507
-19500	5.01090393114108
-19400	3.8132402346205936
-19300	2.9820719314994273
-19200	2.4393670217913623
-19100	2.095847717276874
-19000	1.8831977669876365
-18900	1.771275398379954
-18800	1.7092323081948342
-18700	1.7007660912028655
-18600	1.7295053277990966
-18500	1.7502373591679838
-18400	1.8180690977180942
-18300	1.8729210035907589
-18200	1.945776370898152
-18100	2.017866718597837
-18000	2.093348653225028
-17900	2.1838759734704762
-17800	2.2560173224773417
-17700	2.3460856309581652
-17600	2.442299596954243
-17500	2.51454294857547
-17400	2.614964522413942
-17300	2.687437379917481
-17200	2.769064972059926
-17100	2.840390300151903
-17000	2.9054169668070844
-16900	2.9849535053551275
-16800	3.0390913929272645
-16700	3.0926427654668256
-16600	3.133367309250482
-16500	3.1829405798299613
-16400	3.2359309379905365
-16300	3.3035076700047443
-16200	3.3271722765365124
-16100	3.3768475497303525
-16000	3.3991861222754265
-15900	3.42626781638829
-15800	3.4596226712843596
-15700	3.465207314420628
-15600	3.4689559104983974
-15500	3.50167324905471
-15400	3.4579396281474017
-15300	3.4604641928528386
-15200	3.4120894529921015
-15100	3.4053827810978614
-15000	3.3680753248953006
-14900	3.3436201981022347
-14800	3.2998865771949264
-14700	3.2568414739345553
-14600	3.2037746138132097
-14500	3.1749333746026176
-14400	3.122861039971292
-14300	3.0848140648146134
-14200	3.023663497505153
-14100	2.98329596287176
-14000	2.9471615367343516
-13900	2.9068450034081392
-13800	2.877799758968825
-13700	2.803720360289099
-13600	2.757258169447632
-13500	2.7093934426587007
-13400	2.6399806635859937
-13300	2.5882908387585224
-13200	2.5179600361565657
-13100	2.428835251858582
-13000	2.3863766636307875
-12900	2.310435717238972
-12800	2.2510446950272396
-12700	2.179183853209867
-12600	2.1336651865512404
-12500	2.0808023316586164
-12400	2.043265369573743
-12300	1.992264062393209
-12200	1.9778306924611178
-12100	1.958093186582251
-12000	1.923335795738717
-11900	1.9116309957407844
-11800	1.8927095107768062
-11700	1.8890884179669882
-11600	1.8784546454198467
-11500	1.8699374271206977
-11400	1.8402036650344462
-11300	1.8272493330105906
-11200	1.8072823212494113
-11100	1.7947104990294096
-11000	1.7452392310642915
-10900	1.7192795657093995
-10800	1.696991994471506
-10700	1.658333003628661
-10600	1.6490762663753942
-10500	1.6327813487312135
-10400	1.6224535840271552
-10300	1.6120748180159166
-10200	1.5961369095219995
-10100	1.5901187552746965
-10000	1.5772919265187921
-9900	1.5718092859968846
-9800	1.5777764389370073
-9700	1.5351138454804902
-9600	1.5339153147617477
-9500	1.5140248049613394
-9400	1.5090776781648276
-9300	1.507012125224016
-9200	1.4991324232646235
-9100	1.489161667710829
-9000	1.490028689932898
-8900	1.4819704833983736
-8800	1.4868921095412952
-8700	1.474371288628474
-8600	1.4725862428771554
-8500	1.468072627191678
-8400	1.4726117435307455
-8300	1.4588923918991819
-8200	1.4721017304589403
-8100	1.4495591526851441
-8000	1.4465245749079023
-7900	1.4626664886305414
-7800	1.4613914559510282
-7700	1.4712857095440517
-7600	1.4723057356876623
-7500	1.4762073356869734
-7400	1.4817664781696516
-7300	1.4881671422208085
-7200	1.5046915657473017
-7100	1.5174928938496157
-7000	1.5389644441726207
-6900	1.5593139657376538
-6800	1.585375633706907
-6700	1.6200565225896701
-6600	1.6462456938268744
-6500	1.7031886532939409
-6400	1.7424596598229523
-6300	1.7855047630833232
-6200	1.837143586603614
-6100	2.0327080989873725
-6000	0.6846160469379013
-5900	0.0007140183005274794
-5800	0
-5700	0
-5600	0
-5500	0
-5400	0
-5300	0
-5200	0
-5100	0
-5000	0
-4900	0
-4800	0
-4700	0
-4600	0
-4500	0
-4400	0
-4300	0
-4200	0
-4100	0
-4000	0
-3900	0
-3800	0
-3700	0
-3600	0
-3500	0
-3400	0
-3300	0
-3200	0
-3100	0
-3000	0
-2900	0
-2800	0
-2700	0
-2600	0
-2500	0
-2400	0
-2300	0
-2200	0
-2100	0
