"Time (ps)"	"Counts per bin"
0	19512610
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	5
6000	26
6100	30
6200	38
6300	34
6400	34
6500	50
6600	41
6700	47
6800	39
6900	37
7000	41
7100	37
7200	40
7300	43
7400	31
7500	49
7600	46
7700	36
7800	37
7900	42
8000	41
8100	22
8200	32
8300	17
8400	11
8500	12
8600	6
8700	7
8800	11
8900	5
9000	6
9100	12
9200	5
9300	6
9400	1
9500	5
9600	7
9700	2
9800	5
9900	5
10000	7
10100	11
10200	5
10300	9
10400	14
10500	13
10600	17
10700	19
10800	24
10900	31
11000	42
11100	48
11200	64
11300	93
11400	75
11500	95
11600	121
11700	152
11800	159
11900	184
12000	216
12100	277
12200	288
12300	331
12400	411
12500	426
12600	446
12700	492
12800	559
12900	632
13000	614
13100	695
13200	752
13300	764
13400	822
13500	834
13600	904
13700	950
13800	935
13900	1036
14000	1041
14100	1109
14200	1139
14300	1139
14400	1251
14500	1226
14600	1300
14700	1331
14800	1413
14900	1406
15000	1443
15100	1535
15200	1535
15300	1544
15400	1617
15500	1581
15600	1668
15700	1729
15800	1700
15900	1701
16000	1851
16100	1741
16200	1741
16300	1797
16400	1857
16500	1970
16600	1953
16700	1929
16800	1963
16900	1971
17000	1978
17100	1967
17200	2030
17300	2072
17400	2039
17500	2133
17600	2183
17700	2064
17800	2185
17900	2122
18000	2163
18100	2123
18200	2193
18300	2118
18400	2164
18500	2222
18600	2247
18700	2284
18800	2271
18900	2310
19000	2331
19100	2325
19200	2322
19300	2301
19400	2299
19500	2445
19600	2387
19700	2332
19800	2430
19900	2343
20000	2401
20100	2388
20200	2381
20300	2353
20400	2434
20500	2510
20600	2512
20700	2428
20800	2380
20900	2406
21000	2441
21100	2461
21200	2385
21300	2469
21400	2394
21500	2447
21600	2367
21700	2508
21800	2456
21900	2405
22000	2371
22100	2483
22200	2428
22300	2503
22400	2533
22500	2456
22600	2473
22700	2520
22800	2481
22900	2377
23000	2440
23100	2532
23200	2476
23300	2414
23400	2400
23500	2526
23600	2547
23700	2486
23800	2512
23900	2581
24000	2600
24100	2600
24200	2636
24300	2496
24400	2643
24500	2628
24600	2611
24700	2594
24800	2587
24900	2669
25000	2686
25100	2593
25200	2641
25300	2635
25400	2635
25500	2601
25600	2524
25700	2419
25800	2584
25900	2620
26000	2615
26100	2656
26200	2709
26300	2932
26400	2765
26500	2977
26600	2830
26700	2865
26800	2844
26900	2803
27000	2837
27100	2643
27200	2585
27300	2592
27400	2479
27500	2588
27600	2545
27700	2550
27800	2594
27900	2499
28000	2621
28100	2485
28200	2512
28300	2524
28400	2509
28500	2504
28600	2530
28700	2421
28800	2516
28900	2409
29000	2507
29100	2437
29200	2479
29300	2575
29400	2547
29500	2524
29600	2350
29700	2490
29800	2450
29900	2531
30000	2487
30100	2364
30200	2483
30300	2431
30400	2501
30500	2507
30600	2497
30700	2555
30800	2586
30900	2520
31000	2507
31100	2468
31200	2420
31300	2644
31400	2449
31500	2606
31600	2654
31700	2478
31800	2526
31900	2539
32000	2632
32100	2523
32200	2454
32300	2552
32400	2451
32500	2497
32600	2553
32700	2441
32800	2495
32900	2432
33000	2386
33100	2361
33200	2472
33300	2397
33400	2366
33500	2515
33600	2507
33700	2393
33800	2458
33900	2413
34000	2453
34100	2475
34200	2439
34300	2533
34400	2548
34500	2479
34600	2480
34700	2527
34800	2506
34900	2520
35000	2556
35100	2490
35200	2494
35300	2451
35400	2514
35500	2504
35600	2572
35700	2512
35800	2442
35900	2555
36000	2538
36100	2519
36200	2482
36300	2464
36400	2461
36500	2639
36600	2428
36700	2472
36800	2584
36900	2535
37000	2398
37100	2569
37200	2533
37300	2590
37400	2504
37500	2517
37600	2462
37700	2470
37800	2586
37900	2424
38000	2519
38100	2518
38200	2475
38300	2530
38400	2477
38500	2508
38600	2594
38700	2450
38800	2467
38900	2654
39000	2542
39100	2671
39200	2633
39300	2531
39400	2551
39500	2596
39600	2607
39700	2628
39800	2635
39900	2587
40000	2527
40100	2601
40200	2579
40300	2641
40400	2581
40500	2615
40600	2592
40700	2695
40800	2710
40900	2622
41000	2671
41100	2680
41200	2615
41300	2587
41400	2688
41500	2670
41600	2547
41700	2609
41800	2536
41900	2613
42000	2654
42100	2571
42200	2569
42300	2658
42400	2642
42500	2575
42600	2629
42700	2735
42800	2543
42900	2634
43000	2545
43100	2594
43200	2638
43300	2638
43400	2638
43500	2688
43600	2596
43700	2647
43800	2602
43900	2634
44000	2608
44100	2573
44200	2651
44300	2641
44400	2594
44500	2609
44600	2543
44700	2555
44800	2621
44900	2645
45000	2628
45100	2633
45200	2566
45300	2549
45400	2603
45500	2585
45600	2533
45700	2491
45800	2623
45900	2569
46000	2585
46100	2500
46200	2576
46300	2597
46400	2683
46500	2585
46600	2640
46700	2633
46800	2584
46900	2673
47000	2656
47100	2527
47200	2699
47300	2557
47400	2567
47500	2610
47600	2608
47700	2530
47800	2615
47900	2694
48000	2594
48100	2625
48200	2633
48300	2638
48400	2595
48500	2484
48600	2594
48700	2552
48800	2616
48900	2567
49000	2615
49100	2563
49200	2654
49300	2523
49400	2537
49500	2630
49600	2545
49700	2496
49800	2468
49900	2615
50000	2597
50100	2536
50200	2545
50300	2644
50400	2620
50500	2565
50600	2578
50700	2490
50800	2613
50900	2618
51000	2625
51100	2562
51200	2704
51300	2494
51400	2582
51500	2577
51600	2529
51700	2613
51800	2566
51900	2607
52000	2616
52100	2606
52200	2530
52300	2543
52400	2494
52500	2669
52600	2566
52700	2549
52800	2647
52900	2536
53000	2640
53100	2687
53200	2638
53300	2573
53400	2649
53500	2530
53600	2606
53700	2624
53800	2613
53900	2495
54000	2626
54100	2576
54200	2540
54300	2566
54400	2614
54500	2540
54600	2528
54700	2617
54800	2553
54900	2522
55000	2525
55100	2492
55200	2519
55300	2534
55400	2571
55500	2637
55600	2472
55700	2492
55800	2557
55900	2498
56000	2490
56100	2498
56200	2490
56300	2468
56400	2614
56500	2434
56600	2576
56700	2492
56800	2487
56900	2460
57000	2496
57100	2449
57200	2353
57300	2539
57400	2489
57500	2503
57600	2534
57700	2494
57800	2549
57900	2498
58000	2499
58100	2541
58200	2567
58300	2467
58400	2519
58500	2490
58600	2529
58700	2580
58800	2536
58900	2483
59000	2465
59100	2545
59200	2616
59300	2517
59400	2546
59500	2565
59600	2590
59700	2592
59800	2559
59900	2515
60000	2504
60100	2435
60200	2470
60300	2540
60400	2504
60500	2550
60600	2474
60700	2549
60800	2497
60900	2515
61000	2548
61100	2572
61200	2466
61300	2510
61400	2472
61500	2549
61600	2479
61700	2628
61800	2531
61900	2492
62000	2490
62100	2513
62200	2507
62300	2562
62400	2592
62500	2507
62600	2505
62700	2553
62800	2564
62900	2484
63000	2616
63100	2595
63200	2603
63300	2554
63400	2498
63500	2557
63600	2636
63700	2627
63800	2512
63900	2582
64000	2493
64100	2638
64200	2489
64300	2557
64400	2580
64500	2613
64600	2557
64700	2528
64800	2522
64900	2486
65000	2562
65100	2537
65200	2591
65300	2532
65400	2545
65500	2606
65600	2478
65700	2550
65800	2511
65900	2573
66000	2452
66100	2517
66200	2595
66300	2450
66400	2528
66500	2500
66600	2523
66700	2554
66800	2579
66900	2589
67000	2488
67100	2488
67200	2510
67300	2512
67400	2468
67500	2501
67600	2598
67700	2548
67800	2558
67900	2623
68000	2541
68100	2481
68200	2590
68300	2461
68400	2480
68500	2536
68600	2554
68700	2566
68800	2573
68900	2552
69000	2476
69100	2513
69200	2483
69300	2439
69400	2457
69500	2463
69600	2542
69700	2595
69800	2535
69900	2514
70000	2568
70100	2543
70200	2458
70300	2551
70400	2478
70500	2569
70600	2652
70700	2470
70800	2500
70900	2483
71000	2586
71100	2508
71200	2565
71300	2458
71400	2547
71500	2500
71600	2554
71700	2479
71800	2529
71900	2538
72000	2530
72100	2472
72200	2454
72300	2454
72400	2507
72500	2582
72600	2563
72700	2521
72800	2564
72900	2537
73000	2483
73100	2521
73200	2418
73300	2567
73400	2451
73500	2549
73600	2607
73700	2568
73800	2615
73900	2526
74000	2478
74100	2490
74200	2557
74300	2432
74400	2456
74500	2458
74600	2520
74700	2545
74800	2572
74900	2508
75000	2509
75100	2532
75200	2513
75300	2468
75400	2559
75500	2470
75600	2610
75700	2503
75800	2514
75900	2469
76000	2495
76100	2584
76200	2538
76300	2496
76400	2614
76500	2573
76600	2629
76700	2508
76800	2458
76900	2448
77000	2509
77100	2393
77200	2548
77300	2520
77400	2565
77500	2559
77600	2504
77700	2559
77800	2576
77900	2503
78000	2449
78100	2547
78200	2416
78300	2466
78400	2455
78500	2575
78600	2419
78700	2388
78800	2511
78900	2506
79000	2484
79100	2469
79200	2530
79300	2557
79400	2586
79500	2546
79600	2427
79700	2424
79800	2510
79900	2527
80000	2511
80100	2503
80200	2523
80300	2577
80400	2537
80500	2559
80600	2485
80700	2554
80800	2534
80900	2550
81000	2525
81100	2479
81200	2432
81300	2557
81400	2603
81500	2543
81600	2575
81700	2467
81800	2554
81900	2494
82000	2553
82100	2566
82200	2447
82300	2594
82400	2494
82500	2587
82600	2571
82700	2517
82800	2582
82900	2593
83000	2594
83100	2503
83200	2519
83300	2578
83400	2526
83500	2557
83600	2633
83700	2529
83800	2536
83900	2491
84000	2555
84100	2552
84200	2592
84300	2483
84400	2553
84500	2580
84600	2503
84700	2531
84800	2520
84900	2569
85000	2609
85100	2543
85200	2599
85300	2575
85400	2575
85500	2517
85600	2650
85700	2547
85800	2474
85900	2538
86000	2493
86100	2554
86200	2535
86300	2513
86400	2577
86500	2579
86600	2642
86700	2621
86800	2528
86900	2544
87000	2553
87100	2623
87200	2585
87300	2582
87400	2513
87500	2586
87600	2506
87700	2567
87800	2486
87900	2591
88000	2551
88100	2579
88200	2545
88300	2587
88400	2483
88500	2558
88600	2618
88700	2644
88800	2508
88900	2521
89000	2621
89100	2487
89200	2527
89300	2612
89400	2567
89500	2537
89600	2490
89700	2562
89800	2495
89900	2489
90000	2569
90100	2562
90200	2606
90300	2636
90400	2508
90500	2584
90600	2541
90700	2527
90800	2498
90900	2574
91000	2506
91100	2575
91200	2506
91300	2497
91400	2527
91500	2542
91600	2493
91700	2500
91800	2565
91900	2527
92000	2621
92100	2547
92200	2580
92300	2551
92400	2520
92500	2597
92600	2511
92700	2547
92800	2661
92900	2623
93000	2543
93100	2543
93200	2552
93300	2574
93400	2617
93500	2509
93600	2506
93700	2636
93800	2595
93900	2575
94000	2437
94100	2593
94200	2569
94300	2574
94400	2489
94500	2585
94600	2524
94700	2542
94800	2560
94900	2543
95000	2618
95100	2599
95200	2552
95300	2580
95400	2514
95500	2547
95600	2583
95700	2517
95800	2541
95900	2543
96000	2605
96100	2552
96200	2584
96300	2581
96400	2566
96500	2573
96600	2561
96700	2653
96800	2545
96900	2579
97000	2598
97100	2514
97200	2503
97300	2542
97400	2620
97500	2434
97600	2433
97700	2570
97800	2599
97900	2544
98000	2486
98100	2592
98200	2489
98300	2573
98400	2569
98500	2657
98600	2518
98700	2501
98800	2621
98900	2576
99000	2622
99100	2559
99200	2639
99300	2538
99400	2575
99500	2564
99600	2570
99700	2537
99800	2452
99900	2556
