"Time (ps)"	"Counts per bin"
0	90670
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	3
6000	9
6100	6
6200	5
6300	6
6400	6
6500	10
6600	8
6700	11
6800	10
6900	14
7000	18
7100	11
7200	13
7300	12
7400	21
7500	34
7600	32
7700	29
7800	29
7900	34
8000	28
8100	40
8200	49
8300	43
8400	54
8500	55
8600	70
8700	64
8800	86
8900	88
9000	79
9100	98
9200	97
9300	101
9400	102
9500	101
9600	135
9700	140
9800	132
9900	115
10000	120
10100	125
10200	175
10300	160
10400	165
10500	149
10600	187
10700	148
10800	180
10900	176
11000	164
11100	198
11200	203
11300	198
11400	218
11500	217
11600	214
11700	200
11800	212
11900	228
12000	221
12100	239
12200	204
12300	236
12400	258
12500	249
12600	218
12700	269
12800	249
12900	262
13000	275
13100	279
13200	249
13300	260
13400	278
13500	233
13600	278
13700	285
13800	279
13900	290
14000	279
14100	309
14200	260
14300	296
14400	329
14500	306
14600	297
14700	309
14800	296
14900	320
15000	291
15100	306
15200	291
15300	306
15400	299
15500	306
15600	282
15700	309
15800	291
15900	301
16000	325
16100	301
16200	316
16300	337
16400	308
16500	286
16600	280
16700	305
16800	298
16900	302
17000	328
17100	284
17200	299
17300	300
17400	303
17500	288
17600	263
17700	310
17800	312
17900	286
18000	323
18100	324
18200	287
18300	330
18400	333
18500	305
18600	285
18700	313
18800	305
18900	296
19000	305
19100	307
19200	312
19300	287
19400	294
19500	294
19600	315
19700	311
19800	324
19900	307
20000	302
20100	314
20200	276
20300	283
20400	289
20500	311
20600	288
20700	310
20800	274
20900	318
21000	273
21100	320
21200	343
21300	298
21400	311
21500	314
21600	322
21700	296
21800	280
21900	299
22000	294
22100	282
22200	293
22300	277
22400	293
22500	318
22600	305
22700	290
22800	326
22900	277
23000	284
23100	321
23200	302
23300	277
23400	296
23500	279
23600	291
23700	321
23800	283
23900	270
24000	287
24100	292
24200	272
24300	299
24400	316
24500	263
24600	272
24700	288
24800	307
24900	291
25000	283
25100	301
25200	305
25300	296
25400	295
25500	303
25600	275
25700	273
25800	299
25900	284
26000	284
26100	314
26200	293
26300	267
26400	307
26500	305
26600	307
26700	284
26800	311
26900	265
27000	294
27100	298
27200	333
27300	282
27400	300
27500	287
27600	315
27700	259
27800	289
27900	309
28000	318
28100	323
28200	331
28300	268
28400	299
28500	303
28600	287
28700	275
28800	339
28900	305
29000	290
29100	319
29200	361
29300	311
29400	316
29500	307
29600	318
29700	327
29800	311
29900	307
30000	277
30100	275
30200	308
30300	294
30400	288
30500	281
30600	305
30700	285
30800	277
30900	271
31000	339
31100	300
31200	304
31300	304
31400	327
31500	284
31600	321
31700	289
31800	298
31900	305
32000	306
32100	306
32200	318
32300	300
32400	317
32500	321
32600	315
32700	318
32800	318
32900	291
33000	323
33100	300
33200	297
33300	292
33400	319
33500	313
33600	316
33700	317
33800	324
33900	326
34000	322
34100	320
34200	299
34300	308
34400	304
34500	298
34600	307
34700	298
34800	295
34900	313
35000	292
35100	297
35200	292
35300	284
35400	336
35500	308
35600	311
35700	294
35800	316
35900	314
36000	308
36100	306
36200	291
36300	303
36400	311
36500	290
36600	285
36700	322
36800	300
36900	293
37000	324
37100	253
37200	302
37300	328
37400	338
37500	315
37600	296
37700	309
37800	336
37900	316
38000	309
38100	311
38200	302
38300	321
38400	300
38500	304
38600	314
38700	305
38800	304
38900	300
39000	289
39100	293
39200	298
39300	322
39400	301
39500	293
39600	269
39700	299
39800	283
39900	281
40000	304
40100	310
40200	296
40300	300
40400	296
40500	299
40600	318
40700	301
40800	309
40900	304
41000	265
41100	283
41200	315
41300	288
41400	284
41500	292
41600	283
41700	283
41800	300
41900	297
42000	312
42100	292
42200	308
42300	279
42400	270
42500	302
42600	310
42700	327
42800	261
42900	295
43000	320
43100	324
43200	281
43300	295
43400	303
43500	319
43600	290
43700	267
43800	303
43900	311
44000	296
44100	292
44200	299
44300	284
44400	313
44500	284
44600	307
44700	309
44800	304
44900	280
45000	301
45100	310
45200	333
45300	314
45400	298
45500	293
45600	289
45700	307
45800	282
45900	289
46000	329
46100	304
46200	271
46300	284
46400	298
46500	302
46600	313
46700	287
46800	314
46900	284
47000	313
47100	314
47200	299
47300	327
47400	318
47500	297
47600	291
47700	293
47800	308
47900	301
48000	264
48100	289
48200	324
48300	286
48400	302
48500	296
48600	327
48700	304
48800	303
48900	294
49000	272
49100	317
49200	276
49300	293
49400	316
49500	291
49600	306
49700	276
49800	305
49900	305
50000	309
50100	330
50200	290
50300	322
50400	298
50500	312
50600	291
50700	309
50800	314
50900	320
51000	294
51100	312
51200	274
51300	301
51400	322
51500	293
51600	297
51700	274
51800	282
51900	324
52000	280
52100	322
52200	276
52300	303
52400	279
52500	316
52600	314
52700	284
52800	320
52900	301
53000	313
53100	329
53200	301
53300	273
53400	287
53500	313
53600	302
53700	295
53800	287
53900	285
54000	294
54100	266
54200	319
54300	302
54400	314
54500	315
54600	303
54700	290
54800	300
54900	297
55000	302
55100	326
55200	266
55300	313
55400	313
55500	351
55600	279
55700	287
55800	295
55900	319
56000	293
56100	284
56200	307
56300	304
56400	305
56500	275
56600	292
56700	294
56800	281
56900	269
57000	291
57100	257
57200	277
57300	290
57400	307
57500	300
57600	284
57700	300
57800	271
57900	300
58000	325
58100	291
58200	310
58300	294
58400	297
58500	311
58600	286
58700	329
58800	275
