"Time (ps)"	"Channel 1 - Counts per bin"
0	479003
1000000000000	479124
2000000000000	478766
3000000000000	478752
4000000000000	479064
5000000000000	478700
6000000000000	480321
7000000000000	478689
8000000000000	478389
9000000000000	477872
10000000000000	478774
11000000000000	478235
12000000000000	478413
13000000000000	479157
14000000000000	478687
15000000000000	479968
16000000000000	477744
17000000000000	479090
18000000000000	478400
19000000000000	479221
20000000000000	478549
21000000000000	479553
22000000000000	478875
23000000000000	480398
24000000000000	478766
25000000000000	477560
26000000000000	478822
27000000000000	478302
28000000000000	477860
29000000000000	477917
