"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	356327
1000000000000	356112
2000000000000	355659
3000000000000	355070
4000000000000	355982
5000000000000	356328
6000000000000	355457
7000000000000	356148
8000000000000	356296
9000000000000	354395
10000000000000	355484
11000000000000	356609
12000000000000	355489
13000000000000	355177
14000000000000	355012
15000000000000	355946
16000000000000	355663
17000000000000	356288
18000000000000	356088
19000000000000	355614
20000000000000	355359
21000000000000	356255
22000000000000	355299
23000000000000	356687
24000000000000	355893
25000000000000	355849
26000000000000	356130
27000000000000	355901
28000000000000	356752
29000000000000	355938
